"dog_id","Sample_Year","DAP_Sample_ID","krt_cp_total_protein_value","krt_cp_total_protein_modifier","krt_cp_albumin_value","krt_cp_albumin_modifier","krt_cp_globulins_value","krt_cp_globulins_modifier","krt_cp_alb_glob_ratio_value","krt_cp_alb_glob_ratio_modifier","krt_cp_calcium_value","krt_cp_calcium_modifier","krt_cp_phosphorus_value","krt_cp_phosphorus_modifier","krt_cp_magnesium_value","krt_cp_magnesium_modifier","krt_cp_glucose_value","krt_cp_glucose_modifier","krt_cp_bun_value","krt_cp_bun_modifier","krt_cp_creatinine_value","krt_cp_creatinine_modifier","krt_cp_bilirubin_total_value","krt_cp_bilirubin_total_modifier","krt_cp_alkp_value","krt_cp_alkp_modifier","krt_cp_alt_value","krt_cp_alt_modifier","krt_cp_ggt_value","krt_cp_ggt_modifier","krt_cp_amylase_value","krt_cp_amylase_modifier","krt_cp_triglycerides_value","krt_cp_triglycerides_modifier","krt_cp_cholesterol_value","krt_cp_cholesterol_modifier","krt_cp_sodium_value","krt_cp_sodium_modifier","krt_cp_potassium_value","krt_cp_potassium_modifier","krt_cp_chloride_value","krt_cp_chloride_modifier","krt_cp_sp_ratio_value","krt_cp_sp_ratio_modifier","krt_cp_test_comments"
19331,"precision_1","19331-precision_1-ChemPanel",7,NA,3.2,NA,3.8,NA,0.8,NA,10.6,NA,2.7,NA,1.8,NA,104,NA,14,NA,1,NA,0.2,NA,29,NA,37,NA,3,NA,640,NA,145,NA,268,NA,147,NA,4.2,NA,111,NA,35,NA,NA
19422,"precision_1","19422-precision_1-ChemPanel",6.5,NA,3.8,NA,2.7,NA,1.4,NA,10.3,NA,2.6,NA,2.2,NA,106,NA,16,NA,0.7,NA,0.2,NA,122,NA,25,NA,4,NA,454,NA,66,NA,193,NA,149,NA,4.5,NA,114,NA,33.1,NA,NA
19422,"precision_2","19422-precision_2-ChemPanel",6.6,NA,3.6,NA,3,NA,1.2,NA,10.3,NA,3.1,NA,1.8,NA,99,NA,15,NA,0.7,NA,0.2,NA,144,NA,33,NA,4,NA,407,NA,77,NA,203,NA,147,NA,4.4,NA,111,NA,33.4,NA,NA
19559,"precision_1","19559-precision_1-ChemPanel",5.9,NA,3.2,NA,2.7,NA,1.2,NA,9.8,NA,4,NA,1.7,NA,112,NA,13,NA,1.19,NA,0.2,NA,49,NA,33,NA,3,NA,458,NA,59,NA,251,NA,149,NA,4.8,NA,113,NA,31,NA,NA
20064,"precision_1","20064-precision_1-ChemPanel",6.7,NA,3.1,NA,3.6,NA,0.9,NA,10.1,NA,3.6,NA,1.9,NA,104,NA,20,NA,1,NA,0.1,NA,44,NA,35,NA,3,"<",491,NA,66,NA,166,NA,146,NA,4.6,NA,110,NA,31.7,NA,NA
20064,"precision_2","20064-precision_2-ChemPanel",6.8,NA,3.3,NA,3.5,NA,0.9,NA,10.4,NA,3.6,NA,1.7,NA,111,NA,24,NA,1.2,NA,0.2,NA,28,NA,37,NA,3,NA,437,NA,183,NA,202,NA,148,NA,4.7,NA,109,NA,31.5,NA,"1+ lipemia is reported. No known interferences.1+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
20064,"precision_3","20064-precision_3-ChemPanel",6.8,NA,3.3,NA,3.5,NA,0.9,NA,10.3,NA,3.9,NA,1.7,NA,106,NA,12,NA,1.01,NA,0.2,NA,57,NA,32,NA,3,"<",496,NA,68,NA,195,NA,146,NA,4.5,NA,109,NA,32.4,NA,NA
20155,"precision_1","20155-precision_1-ChemPanel",6.2,NA,3.5,NA,2.7,NA,1.3,NA,10.1,NA,3.4,NA,1.8,NA,103,NA,18,NA,1.1,NA,0.2,NA,24,NA,47,NA,3,NA,683,NA,71,NA,292,NA,146,NA,3.9,NA,109,NA,37.4,NA,NA
20155,"precision_2","20155-precision_2-ChemPanel",6.6,NA,3.3,NA,3.3,NA,1,NA,9.7,NA,4,NA,1.7,NA,104,NA,24,NA,1,NA,0.3,NA,38,NA,48,NA,3,"<",543,NA,61,NA,293,NA,144,NA,4.7,NA,115,NA,30.6,NA,"3+ hemolysis is reported and may affect phosphorus, potassium, and amylase tests. The reported results may not be an accurate measure of in vivo levels at the time of sampling."
20155,"precision_3","20155-precision_3-ChemPanel",6.3,NA,3.4,NA,2.9,NA,1.2,NA,9.7,NA,4.4,NA,1.7,NA,89,NA,22,NA,0.99,NA,0.2,NA,155,NA,45,NA,3,NA,481,NA,47,NA,291,NA,146,NA,4.3,NA,112,NA,34,NA,NA
20170,"precision_1","20170-precision_1-ChemPanel",6.1,NA,3.2,NA,2.9,NA,1.1,NA,10.2,NA,4,NA,2,NA,93,NA,27,NA,1.1,NA,0.2,NA,40,NA,29,NA,3,NA,477,NA,36,NA,195,NA,148,NA,4.1,NA,113,NA,36.1,NA,NA
20227,"precision_1","20227-precision_1-ChemPanel",6.3,NA,3.3,NA,3,NA,1.1,NA,10.3,NA,2.4,NA,2,NA,101,NA,20,NA,1.3,NA,0.3,NA,20,NA,36,NA,4,NA,394,NA,100,NA,304,NA,149,NA,4.3,NA,115,NA,34.7,NA,NA
20227,"precision_2","20227-precision_2-ChemPanel",6.5,NA,3.2,NA,3.3,NA,1,NA,10.8,NA,1.5,NA,1.5,NA,105,NA,48,NA,1.7,NA,0.3,NA,25,NA,47,NA,5,NA,536,NA,81,NA,343,NA,150,NA,3.9,NA,114,NA,38.5,NA,"Phosphorus result verified by repeat analysis. "
20268,"precision_1","20268-precision_1-ChemPanel",6,NA,3,NA,3,NA,1,NA,9.6,NA,2.9,NA,1.6,NA,107,NA,18,NA,0.86,NA,0.2,NA,24,NA,154,NA,4,NA,354,NA,44,NA,203,NA,146,NA,4.3,NA,114,NA,34,NA,NA
21024,"precision_1","21024-precision_1-ChemPanel",6.1,NA,3.3,NA,2.8,NA,1.2,NA,10.2,NA,3.8,NA,1.9,NA,87,NA,16,NA,1.2,NA,0.3,NA,34,NA,24,NA,3,"<",587,NA,56,NA,349,NA,147,NA,4,NA,113,NA,36.8,NA,"2+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
21024,"precision_2","21024-precision_2-ChemPanel",6,NA,3.3,NA,2.7,NA,1.2,NA,10.3,NA,3.8,NA,1.7,NA,75,NA,15,NA,1.2,NA,0.3,NA,32,NA,23,NA,3,"<",488,NA,61,NA,369,NA,145,NA,4.6,NA,110,NA,31.5,NA,"2+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
21024,"precision_3","21024-precision_3-ChemPanel",5.8,NA,3.3,NA,2.5,NA,1.3,NA,9.8,NA,2.8,NA,1.5,NA,98,NA,17,NA,1.27,NA,0.3,NA,37,NA,25,NA,4,NA,549,NA,61,NA,380,NA,149,NA,4.1,NA,116,NA,36.3,NA,NA
21172,"precision_1","21172-precision_1-ChemPanel",5.8,NA,3.1,NA,2.7,NA,1.1,NA,10.3,NA,4.2,NA,1.8,NA,97,NA,33,NA,1.24,NA,0.1,NA,1020,NA,144,NA,5,NA,480,NA,98,NA,182,NA,147,NA,5.3,NA,115,NA,27.7,NA,NA
21358,"precision_1","21358-precision_1-ChemPanel",5.3,NA,3.2,NA,2.1,NA,1.5,NA,9.2,NA,4.7,NA,1.9,NA,93,NA,15,NA,1.2,NA,0.2,NA,9,NA,35,NA,3,"<",349,NA,46,NA,223,NA,145,NA,4.4,NA,111,NA,33,NA,"1+ hemolysis is reported and may falsely increase the AST and K results."
21358,"precision_2","21358-precision_2-ChemPanel",7.1,NA,3.9,NA,3.2,NA,1.2,NA,10.4,NA,18.9,NA,2.4,NA,10,"<",27,NA,1.3,NA,0.8,NA,5,"<",40,NA,3,"<",444,NA,51,NA,318,NA,148,NA,5.8,NA,103,NA,25.5,NA,"Phosphorus verified by repeat analysis. "
21666,"precision_1","21666-precision_1-ChemPanel",6.9,NA,3.6,NA,3.3,NA,1.1,NA,6.6,NA,4.1,NA,2.3,NA,66,NA,10,NA,0.7,NA,0.4,NA,86,NA,19,NA,3,"<",344,NA,173,NA,341,NA,148,NA,5.1,NA,112,NA,29,NA,"4+ hemolysis is reported and may affect bilirubin, AST, ALKP, amylase, potassium, phosphorus, GGT, and GLDH tests. The reported results may not be an accurate measure of in vivo levels at the time of sampling.Submitted on red cells, therefore some results could be falsely high (total protein, phosphorus, AST, ALT, potassium) and others could be falsely low (glucose). Correlate with time between specimen collection and submission as well as the full clinical history."
21827,"precision_1","21827-precision_1-ChemPanel",5.3,NA,2.9,NA,2.4,NA,1.2,NA,9.5,NA,4.2,NA,2,NA,86,NA,19,NA,1.1,NA,0.2,NA,107,NA,192,NA,4,NA,423,NA,69,NA,241,NA,147,NA,4.5,NA,118,NA,32.7,NA,NA
21827,"precision_2","21827-precision_2-ChemPanel",5.2,NA,2.9,NA,2.3,NA,1.3,NA,10,NA,4.2,NA,1.9,NA,90,NA,17,NA,1.61,NA,0.2,NA,88,NA,80,NA,6,NA,629,NA,58,NA,277,NA,147,NA,4.8,NA,116,NA,30.6,NA,NA
21970,"precision_1","21970-precision_1-ChemPanel",6,NA,3.3,NA,2.7,NA,1.2,NA,9.6,NA,3.7,NA,1.8,NA,96,NA,18,NA,1.2,NA,0.2,NA,45,NA,35,NA,3,"<",358,NA,85,NA,302,NA,148,NA,4.2,NA,116,NA,35.2,NA,"1+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
21994,"precision_1","21994-precision_1-ChemPanel",6.1,NA,3.3,NA,2.8,NA,1.2,NA,9.4,NA,4.1,NA,1.7,NA,80,NA,23,NA,1.5,NA,0.3,NA,37,NA,63,NA,3,"<",478,NA,61,NA,169,NA,145,NA,4.3,NA,115,NA,33.7,NA,"3+ hemolysis is reported and may affect phosphorus, AST, potassium, and amylase tests. The reported results may not be an accurate measure of in vivo levels at the time of sampling."
22143,"precision_1","22143-precision_1-ChemPanel",6.7,NA,3.3,NA,3.4,NA,1,NA,11.1,NA,4.1,NA,2.1,NA,108,NA,19,NA,1,NA,0.6,NA,1281,NA,75,NA,3,"<",748,NA,1274,NA,372,NA,147,NA,4.9,NA,108,NA,30,NA,"Triglycerides verified by repeat analysis. 4+ hemolysis is reported and may affect bilirubin, AST, ALKP, amylase, potassium, phosphorus, GGT, and GLDH tests. The reported results may not be an accurate measure of in vivo levels at the time of sampling.1+ lipemia is reported. No known interferences.Specimen was lipemic and was cleared by high speed centrifugation before chemical analysis. Cholesterol and triglycerides testing was performed on this sample prior to high speed centrifugation."
22143,"precision_2","22143-precision_2-ChemPanel",6,NA,3.2,NA,2.8,NA,1.1,NA,10.2,NA,3.3,NA,1.8,NA,108,NA,22,NA,0.9,NA,0.2,NA,1753,NA,87,NA,7,NA,656,NA,752,NA,336,NA,146,NA,5,NA,109,NA,29.2,NA,"ALKP results verified by repeat analysis. 2+ lipemia is reported and can mildly decrease electrolyte values.1+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
22143,"precision_3","22143-precision_3-ChemPanel",6.1,NA,3.2,NA,2.9,NA,1.1,NA,10.9,NA,4.4,NA,2.2,NA,106,NA,30,NA,1.19,NA,0.1,NA,4366,NA,200,NA,8,NA,848,NA,406,NA,266,NA,146,NA,5.6,NA,110,NA,26.1,NA,"ALKP result verified by repeat analysis."
22204,"precision_1","22204-precision_1-ChemPanel",6.7,NA,3.6,NA,3.1,NA,1.2,NA,11.1,NA,3.9,NA,1.6,NA,91,NA,15,NA,0.79,NA,0.2,NA,143,NA,357,NA,7,NA,1127,NA,94,NA,367,NA,146,NA,4.9,NA,108,NA,29.8,NA,NA
22241,"precision_1","22241-precision_1-ChemPanel",6.5,NA,3.3,NA,3.2,NA,1,NA,10.5,NA,3.8,NA,1.9,NA,105,NA,12,NA,1.2,NA,0.2,NA,25,NA,23,NA,4,NA,389,NA,72,NA,366,NA,145,NA,4.4,NA,112,NA,33,NA,NA
22241,"precision_2","22241-precision_2-ChemPanel",7,NA,3.6,NA,3.4,NA,1.1,NA,10.9,NA,4.7,NA,1.8,NA,94,NA,22,NA,1.2,NA,0.3,NA,24,NA,23,NA,3,"<",470,NA,136,NA,333,NA,147,NA,4.5,NA,108,NA,32.7,NA,"1+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
22241,"precision_3","22241-precision_3-ChemPanel",6.9,NA,3.7,NA,3.2,NA,1.2,NA,10.7,NA,3.7,NA,1.7,NA,91,NA,14,NA,1,NA,0.3,NA,122,NA,24,NA,3,"<",347,NA,279,NA,412,NA,145,NA,4.6,NA,108,NA,31.5,NA,"1+ lipemia is reported. No known interferences.1+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
22365,"precision_1","22365-precision_1-ChemPanel",6,NA,3,NA,3,NA,1,NA,10,NA,3.8,NA,2.1,NA,100,NA,8,NA,1.1,NA,0.2,NA,35,NA,97,NA,6,NA,599,NA,60,NA,180,NA,145,NA,4.6,NA,114,NA,31.5,NA,NA
22365,"precision_2","22365-precision_2-ChemPanel",6.1,NA,3,NA,3.1,NA,1,NA,9.7,NA,3.5,NA,1.8,NA,98,NA,9,NA,1,NA,0.3,NA,67,NA,68,NA,7,NA,487,NA,63,NA,230,NA,146,NA,4.8,NA,115,NA,30.4,NA,"GGT verified by repeat analysis."
22890,"precision_1","22890-precision_1-ChemPanel",6.1,NA,3.1,NA,3,NA,1,NA,9.8,NA,3.3,NA,2,NA,95,NA,21,NA,1.4,NA,0.2,NA,11,NA,44,NA,3,NA,437,NA,58,NA,342,NA,146,NA,4.6,NA,112,NA,31.7,NA,NA
22890,"precision_2","22890-precision_2-ChemPanel",6.1,NA,3.1,NA,3,NA,1,NA,9.8,NA,2.4,NA,1.6,NA,90,NA,18,NA,1.2,NA,0.2,NA,14,NA,30,NA,3,NA,446,NA,69,NA,352,NA,147,NA,4.5,NA,112,NA,32.7,NA,NA
22941,"precision_1","22941-precision_1-ChemPanel",6.2,NA,3.5,NA,2.7,NA,1.3,NA,10.4,NA,2.6,NA,1.8,NA,98,NA,10,NA,1,NA,0.2,NA,1219,NA,26,NA,3,NA,525,NA,91,NA,205,NA,148,NA,4.8,NA,111,NA,30.8,NA,NA
22981,"precision_1","22981-precision_1-ChemPanel",6,NA,3.4,NA,2.6,NA,1.3,NA,10.3,NA,3.6,NA,1.6,NA,113,NA,9,NA,1,NA,0.2,NA,47,NA,32,NA,4,NA,541,NA,34,NA,292,NA,149,NA,4.3,NA,116,NA,34.7,NA,NA
22981,"precision_2","22981-precision_2-ChemPanel",6.2,NA,3.3,NA,2.9,NA,1.1,NA,10.2,NA,3.1,NA,1.7,NA,103,NA,13,NA,1.14,NA,0.3,NA,65,NA,42,NA,3,NA,1003,NA,66,NA,354,NA,147,NA,4,NA,112,NA,36.8,NA,"1+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
23140,"precision_1","23140-precision_1-ChemPanel",6.5,NA,3.4,NA,3.1,NA,1.1,NA,10.9,NA,3.4,NA,1.7,NA,101,NA,21,NA,1.1,NA,0.2,NA,41,NA,25,NA,3,"<",668,NA,117,NA,294,NA,149,NA,4.3,NA,110,NA,34.7,NA,"1+ hemolysis is reported and may falsely increase the AST and K results."
23301,"precision_1","23301-precision_1-ChemPanel",6.1,NA,3.5,NA,2.6,NA,1.3,NA,10.2,NA,3.9,NA,2,NA,90,NA,23,NA,1.2,NA,0.3,NA,25,NA,37,NA,3,NA,474,NA,102,NA,254,NA,147,NA,4.4,NA,115,NA,33.4,NA,NA
23301,"precision_2","23301-precision_2-ChemPanel",6.3,NA,3.5,NA,2.8,NA,1.3,NA,10.6,NA,4.2,NA,1.7,NA,98,NA,19,NA,1.3,NA,0.2,NA,35,NA,40,NA,3,NA,564,NA,85,NA,250,NA,150,NA,4.3,NA,113,NA,34.9,NA,NA
23301,"precision_3","23301-precision_3-ChemPanel",6.1,NA,3.5,NA,2.6,NA,1.3,NA,10.1,NA,4.4,NA,1.6,NA,95,NA,16,NA,1.33,NA,0.2,NA,27,NA,41,NA,3,NA,454,NA,81,NA,245,NA,148,NA,4.7,NA,115,NA,31.5,NA,NA
23311,"precision_1","23311-precision_1-ChemPanel",6,NA,3.1,NA,2.9,NA,1.1,NA,8.2,NA,3.3,NA,2,NA,85,NA,18,NA,1,NA,0.4,NA,10,NA,43,NA,3,"<",388,NA,45,NA,278,NA,147,NA,4.6,NA,114,NA,32,NA,"Calcium verified by repeat analysis."
23481,"precision_1","23481-precision_1-ChemPanel",5.7,NA,3.2,NA,2.5,NA,1.3,NA,9,NA,3.3,NA,2.4,NA,84,NA,14,NA,1,NA,0.3,NA,19,NA,49,NA,3,"<",692,NA,65,NA,138,NA,147,NA,4.6,NA,114,NA,32,NA,"2+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
23969,"precision_1","23969-precision_1-ChemPanel",5.9,NA,3,NA,2.9,NA,1,NA,9.2,NA,3.4,NA,2.2,NA,100,NA,14,NA,1.1,NA,0.2,NA,19,NA,41,NA,3,"<",310,NA,47,NA,308,NA,148,NA,4.8,NA,114,NA,30.8,NA,"1+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
23969,"precision_2","23969-precision_2-ChemPanel",5.9,NA,3,NA,2.9,NA,1,NA,9.2,NA,3.4,NA,1.8,NA,83,NA,14,NA,1.1,NA,0.1,NA,20,NA,33,NA,5,NA,296,NA,40,NA,280,NA,150,NA,4.9,NA,116,NA,30.6,NA,NA
24271,"precision_1","24271-precision_1-ChemPanel",6.2,NA,3.4,NA,2.8,NA,1.2,NA,9.9,NA,4.1,NA,2.4,NA,85,NA,20,NA,1.5,NA,0.3,NA,12,NA,27,NA,3,"<",367,NA,38,NA,283,NA,144,NA,4.6,NA,113,NA,31.3,NA,"4+ hemolysis is reported and may affect bilirubin, AST, ALKP, amylase, potassium, phosphorus, GGT, and GLDH tests. The reported results may not be an accurate measure of in vivo levels at the time of sampling."
24271,"precision_2","24271-precision_2-ChemPanel",6.2,NA,3.4,NA,2.8,NA,1.2,NA,10.2,NA,3.8,NA,2,NA,43,NA,23,NA,1.73,NA,0.3,NA,18,NA,26,NA,3,"<",349,NA,48,NA,357,NA,149,NA,5.3,NA,112,NA,28.1,NA,"Submitted on red cells, therefore some results could be falsely high (total protein, phosphorus, AST, ALT, potassium) and others could be falsely low (glucose). Correlate with time between specimen collection and submission as well as the full clinical history."
24407,"precision_1","24407-precision_1-ChemPanel",6.2,NA,3,NA,3.2,NA,0.9,NA,10,NA,2.8,NA,1.7,NA,98,NA,16,NA,1.1,NA,0.2,NA,103,NA,66,NA,3,"<",691,NA,64,NA,227,NA,148,NA,4.5,NA,115,NA,32.9,NA,NA
24407,"precision_2","24407-precision_2-ChemPanel",6.4,NA,3.1,NA,3.3,NA,0.9,NA,10.1,NA,2.9,NA,1.7,NA,109,NA,10,NA,1.07,NA,0.2,NA,155,NA,53,NA,3,"<",633,NA,88,NA,243,NA,146,NA,5,NA,114,NA,29.2,NA,NA
24549,"precision_1","24549-precision_1-ChemPanel",5.6,NA,3.1,NA,2.5,NA,1.2,NA,9.7,NA,3.4,NA,2.1,NA,89,NA,14,NA,1,NA,0.2,NA,18,NA,44,NA,3,"<",470,NA,47,NA,200,NA,144,NA,4.4,NA,111,NA,32.7,NA,NA
24549,"precision_2","24549-precision_2-ChemPanel",6.1,NA,3.1,NA,3,NA,1,NA,10.2,NA,3.8,NA,1.6,NA,86,NA,10,NA,1,NA,0.2,NA,95,NA,35,NA,3,NA,385,NA,52,NA,286,NA,146,NA,4.1,NA,114,NA,35.6,NA,NA
24899,"precision_1","24899-precision_1-ChemPanel",5.9,NA,2.8,NA,3.1,NA,0.9,NA,9.2,NA,3.3,NA,1.6,NA,90,NA,12,NA,0.9,NA,0.2,NA,145,NA,43,NA,3,NA,388,NA,59,NA,344,NA,143,NA,4.7,NA,113,NA,30.4,NA,NA
24899,"precision_2","24899-precision_2-ChemPanel",6.2,NA,2.9,NA,3.3,NA,0.9,NA,9.5,NA,3.4,NA,1.6,NA,92,NA,11,NA,0.93,NA,0.2,NA,109,NA,46,NA,4,NA,385,NA,71,NA,328,NA,145,NA,4.9,NA,115,NA,29.6,NA,NA
25188,"precision_2","25188-precision_2-ChemPanel",5.8,NA,3,NA,2.8,NA,1.1,NA,9.6,NA,3,NA,1.6,NA,103,NA,14,NA,1,NA,0.2,NA,24,NA,35,NA,3,NA,392,NA,47,NA,255,NA,146,NA,4.1,NA,115,NA,35.6,NA,NA
25188,"precision_3","25188-precision_3-ChemPanel",6.2,NA,3,NA,3.2,NA,0.9,NA,10,NA,3.4,NA,1.6,NA,103,NA,11,NA,0.88,NA,0.2,NA,37,NA,28,NA,3,NA,535,NA,67,NA,298,NA,146,NA,4.1,NA,113,NA,35.6,NA,NA
25255,"precision_1","25255-precision_1-ChemPanel",5.6,NA,2.9,NA,2.7,NA,1.1,NA,9.4,NA,4.2,NA,2,NA,94,NA,14,NA,0.7,NA,0.2,NA,118,NA,23,NA,3,NA,1361,NA,45,NA,160,NA,146,NA,4.4,NA,114,NA,33.2,NA,NA
25255,"precision_2","25255-precision_2-ChemPanel",5.7,NA,3.1,NA,2.6,NA,1.2,NA,9.7,NA,4.4,NA,1.7,NA,90,NA,12,NA,0.7,NA,0.2,NA,158,NA,29,NA,3,"<",610,NA,55,NA,187,NA,147,NA,4.4,NA,112,NA,33.4,NA,NA
25283,"precision_1","25283-precision_1-ChemPanel",6.9,NA,3.5,NA,3.4,NA,1,NA,9.6,NA,14.8,NA,2.1,NA,10,"<",20,NA,1.08,NA,0.4,NA,15,NA,32,NA,3,"<",311,NA,37,NA,228,NA,149,NA,5.2,NA,107,NA,28.7,NA,"Phosphorus and glucose results verified by repeat analysis. Submitted on red cells, therefore some results could be falsely high (total protein, phosphorus, AST, ALT, potassium) and others could be falsely low (glucose). Correlate with time between specimen collection and submission as well as the full clinical history.4+ hemolysis is reported and may affect bilirubin, AST, ALKP, amylase, potassium, phosphorus, GGT, and GLDH tests. The reported results may not be an accurate measure of in vivo levels at the time of sampling."
25284,"precision_1","25284-precision_1-ChemPanel",6.1,NA,3.3,NA,2.8,NA,1.2,NA,10,NA,3.7,NA,1.6,NA,106,NA,13,NA,1.1,NA,0.3,NA,248,NA,42,NA,4,NA,878,NA,61,NA,432,NA,146,NA,3.9,NA,108,NA,37.4,NA,NA
25284,"precision_2","25284-precision_2-ChemPanel",6.3,NA,3.3,NA,3,NA,1.1,NA,9.8,NA,3.9,NA,1.8,NA,97,NA,12,NA,1.1,NA,0.3,NA,145,NA,41,NA,3,NA,504,NA,45,NA,419,NA,148,NA,4.2,NA,112,NA,35.2,NA,"1+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
25284,"precision_3","25284-precision_3-ChemPanel",6.3,NA,3.1,NA,3.2,NA,1,NA,10,NA,3.7,NA,1.6,NA,104,NA,12,NA,1.13,NA,0.2,NA,214,NA,38,NA,5,NA,517,NA,49,NA,435,NA,147,NA,4.1,NA,113,NA,35.9,NA,NA
25292,"precision_1","25292-precision_1-ChemPanel",6,NA,3.1,NA,2.9,NA,1.1,NA,10,NA,4.2,NA,2,NA,86,NA,22,NA,1.4,NA,0.3,NA,25,NA,34,NA,5,NA,708,NA,59,NA,220,NA,147,NA,4.5,NA,112,NA,32.7,NA,"2+ lipemia is reported and can mildly decrease electrolyte values.3+ hemolysis is reported and may affect AST, potassium, and amylase tests. The reported results may not be an accurate measure of in vivo levels at the time of sampling."
25465,"precision_1","25465-precision_1-ChemPanel",6.6,NA,3.1,NA,3.5,NA,0.9,NA,9.7,NA,3.8,NA,2.4,NA,95,NA,20,NA,1.1,NA,0.2,NA,149,NA,62,NA,3,"<",347,NA,129,NA,577,NA,143,NA,5.3,NA,111,NA,27,NA,NA
25465,"precision_2","25465-precision_2-ChemPanel",6.7,NA,3.1,NA,3.6,NA,0.9,NA,10.3,NA,4.5,NA,1.8,NA,77,NA,16,NA,0.76,NA,0.2,NA,198,NA,144,NA,3,NA,518,NA,54,NA,310,NA,147,NA,5.2,NA,112,NA,28.3,NA,NA
25538,"precision_1","25538-precision_1-ChemPanel",6,NA,3.2,NA,2.8,NA,1.1,NA,9.7,NA,3.5,NA,1.7,NA,95,NA,19,NA,1.2,NA,0.2,NA,14,NA,58,NA,5,NA,542,NA,47,NA,194,NA,148,NA,4.5,NA,112,NA,32.9,NA,NA
25538,"precision_2","25538-precision_2-ChemPanel",5.9,NA,3,NA,2.9,NA,1,NA,9.5,NA,3.5,NA,1.6,NA,97,NA,18,NA,1.2,NA,0.2,NA,12,NA,44,NA,3,"<",515,NA,49,NA,195,NA,147,NA,4.4,NA,116,NA,33.4,NA,NA
25538,"precision_3","25538-precision_3-ChemPanel",6,NA,3.3,NA,2.7,NA,1.2,NA,9.5,NA,3.5,NA,1.7,NA,97,NA,17,NA,1.3,NA,0.3,NA,11,NA,52,NA,3,"<",547,NA,40,NA,204,NA,147,NA,4.3,NA,115,NA,34.2,NA,"1+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
26238,"precision_1","26238-precision_1-ChemPanel",5.9,NA,3.3,NA,2.6,NA,1.3,NA,10,NA,4.3,NA,1.8,NA,91,NA,18,NA,1.4,NA,0.2,NA,25,NA,27,NA,3,"<",691,NA,52,NA,202,NA,148,NA,4.9,NA,110,NA,30.2,NA,"1+ hemolysis is reported and may falsely increase the AST and K results."
26279,"precision_1","26279-precision_1-ChemPanel",6.1,NA,3.5,NA,2.6,NA,1.3,NA,9.5,NA,2.9,NA,1.8,NA,106,NA,12,NA,0.97,NA,0.2,NA,35,NA,48,NA,4,NA,687,NA,43,NA,174,NA,145,NA,4.7,NA,112,NA,30.9,NA,NA
26387,"precision_1","26387-precision_1-ChemPanel",6.4,NA,2.9,NA,3.5,NA,0.8,NA,9.6,NA,3.4,NA,1.7,NA,99,NA,9,NA,0.9,NA,0.2,NA,54,NA,34,NA,3,"<",815,NA,85,NA,249,NA,144,NA,4.8,NA,111,NA,30,NA,"1+ hemolysis is reported and may falsely increase phosphorus, AST, and K results.Submitted on red cells, therefore some results could be falsely high (total protein, phosphorus, AST, ALT, potassium) and others could be falsely low (glucose). Correlate with time between specimen collection and submission as well as the full clinical history."
26390,"precision_1","26390-precision_1-ChemPanel",5.4,NA,3.1,NA,2.3,NA,1.3,NA,9.8,NA,4.1,NA,2,NA,117,NA,30,NA,1.2,NA,0.2,NA,62,NA,114,NA,5,NA,574,NA,196,NA,291,NA,147,NA,4.3,NA,111,NA,34.2,NA,"1+ lipemia is reported. No known interferences."
26390,"precision_2","26390-precision_2-ChemPanel",5.4,NA,3,NA,2.4,NA,1.3,NA,9.6,NA,5.8,NA,2.2,NA,133,NA,39,NA,1.4,NA,0.1,NA,116,NA,185,NA,7,NA,693,NA,85,NA,288,NA,146,NA,5.1,NA,116,NA,28.6,NA,NA
26492,"precision_1","26492-precision_1-ChemPanel",5.8,NA,3,NA,2.8,NA,1.1,NA,9,NA,3.4,NA,2.1,NA,102,NA,18,NA,1.5,NA,0.3,NA,23,NA,62,NA,3,"<",499,NA,34,NA,186,NA,149,NA,4.2,NA,114,NA,35.5,NA,NA
26492,"precision_2","26492-precision_2-ChemPanel",5.7,NA,3.1,NA,2.6,NA,1.2,NA,9.2,NA,3.3,NA,1.7,NA,100,NA,18,NA,1.5,NA,0.2,NA,25,NA,49,NA,3,"<",615,NA,49,NA,179,NA,146,NA,4.2,NA,115,NA,34.8,NA,NA
26529,"precision_1","26529-precision_1-ChemPanel",6.2,NA,2.9,NA,3.3,NA,0.9,NA,9.7,NA,3.3,NA,1.5,NA,96,NA,12,NA,0.9,NA,0.2,NA,76,NA,23,NA,4,NA,466,NA,72,NA,283,NA,147,NA,4.1,NA,115,NA,35.9,NA,NA
