"dog_id","survey_year","mm_sc_date","mm_sc_stairs_used_previously","mm_sc_loc_y","mm_sc_stairs_used_description","mm_sc_stair_height_cm","mm_sc_stair_count","mm_sc_number_practice_trials","mc_sc_trial_1_outcome","mm_sc_trial_1_time_seconds","mm_sc_trial_1_problems","mm_sc_trial_2_outcome","mm_sc_trial_2_time_seconds","mm_sc_trial_2_problems","mm_sc_trial_3_outcome","mm_sc_trial_3_time_seconds","mm_sc_trial_3_problems","mm_sc_trials_motivation_treat","mm_sc_trials_motivation_toy","mm_sc_trials_motivation_verbal","mm_sc_trials_motivation_clapping","mm_sc_trials_motivation_none","mm_sc_trials_motivation_other","mm_sc_trials_motivation_other_description"
31564,"annual_2023","2023-05-28",0,NA,"Inside our house from Living Room up to Bedrooms where Emma also sleeps",19,11,3,1,"1.80",NA,1,"1.80",NA,1,"1.38",NA,1,0,1,0,0,0,NA
31603,"annual_2023","2023-04-22",1,0,"outside wooden steps at a local recreational area.  steps are wooden risers with dirt covered steps",10,12,1,1,"5.70",NA,1,"4.70",NA,1,"4.33",NA,1,0,0,0,0,0,NA
31676,"annual_2023","2023-05-06",0,NA,"Inside my house, carpet",18.5,16,2,1,"2.25",NA,1,"2.53",NA,1,"2.59",NA,1,0,1,0,0,0,NA
31820,"annual_2023","2023-06-02",1,1,"park stairs",18,6,3,1,"3.5",NA,1,"3.6",NA,1,"3.6",NA,0,0,1,0,0,0,NA
31913,"annual_2023","2023-05-07",1,0,"In house basement to 1st floor",15,8,2,1,"0.67",NA,1,"0.71",NA,1,"0.73",NA,0,1,0,0,0,0,NA
31977,"annual_2023","2023-05-24",1,0,"In house",18,12,3,1,"2.98",NA,1,"3.5",NA,1,"3.75",NA,1,0,1,0,0,0,NA
32002,"annual_2023","2023-05-24",1,0,"inside my house, carpet",19.5,13,1,1,"1.84",NA,1,"1.89",NA,1,"2.14",NA,1,0,1,0,0,0,NA
32124,"annual_2023","2023-05-17",0,NA,"stairs in house",19,13,3,1,"1.56",NA,1,"1.95",NA,1,"1.58",NA,1,0,0,0,0,0,NA
32342,"annual_2023","2023-04-30",1,0,"Carpet inside my house",7.5,13,2,1,"2.3",NA,1,"2.04",NA,1,"2.33",NA,1,0,0,0,0,0,NA
32472,"annual_2023","2023-05-17",0,NA,"Inside my house; carpet treads over hardwood.",20.5,10,1,1,"2.87",NA,1,"3.03",NA,1,"3.04",NA,1,0,0,0,0,0,NA
32624,"annual_2023","2023-05-25",1,0,"main stairs to 2nd floor of house",20.5,15,3,1,"8.52",NA,1,"8.42",NA,1,"8.95",NA,1,0,0,0,0,0,NA
32666,"annual_2023","2023-04-14",1,0,"Wood outdoor stairs from kitchen down to the backyard",20.5,13,1,1,"1.8",NA,1,"2.8",NA,1,"2.0",NA,1,0,1,0,0,0,NA
32705,"annual_2023","2023-05-09",0,NA,"These stairs are leading up to the front door of my house. They are wood.",14,10,3,1,"0.97",NA,1,"0.98",NA,1,"1.04",NA,1,0,1,0,0,0,NA
32749,"annual_2022","2022-06-14",1,0,"Inside the house from front door into the apartment.",18.5,8,2,1,"1.92",NA,1,"1.65",NA,1,"1.8",NA,1,0,0,0,0,0,NA
32802,"annual_2023","2023-04-30",1,0,"Fitch Hall outdoor stairs, concrete surfaces.",14.5,9,1,1,"2.96",NA,1,"3.00",NA,1,"2.66",NA,1,0,1,0,0,0,NA
32922,"annual_2023","2023-04-29",1,1,"stairs going to the front door",30.5,4,2,1,"3",NA,1,"3",NA,1,"3",NA,0,0,1,0,0,0,NA
33242,"annual_2023","2023-05-13",1,0,"inside my house from downstairs to upstairs",20.5,8,3,1,"0.09",NA,1,"0.04",NA,1,"0.04",NA,1,0,0,0,0,0,NA
33357,"annual_2022","2022-07-13",0,NA,"inside the house, from the basement to the main floor, wood",20,14,2,1,"4.92",NA,1,"8.64",NA,1,"4.34",NA,1,0,0,0,0,0,NA
33357,"annual_2023","2023-04-22",1,0,"They are inside of the house. The stairs are from a basement to the first floor. wooden",20,14,2,1,"3.90",NA,1,"2.57",NA,1,"2.37",NA,1,0,0,0,0,0,NA
33417,"annual_2023","2023-05-13",1,0,"set of stairs inside home, carpeted",20,10,1,1,"1.31",NA,1,"1.53",NA,1,"1.30",NA,1,0,0,0,0,0,NA
33590,"annual_2022","2022-08-03",1,0,"Carpeted, inside the house.",18,6,1,1,".55",NA,1,".47",NA,1,".53",NA,0,1,1,0,0,0,NA
33748,"annual_2023","2023-05-21",0,NA,"in side of my home. wood",19,11,5,1,"1.48",NA,1,"2.47",NA,1,"1.51",NA,1,0,0,0,0,0,NA
33950,"annual_2023","2023-05-21",1,0,"Outdoor stairs one block away, made of concrete.",17,8,3,1,"2.30",NA,1,"2.01",NA,1,"2.28",NA,1,0,0,0,0,0,NA
33975,"annual_2022","2022-06-18",1,0,"Inside my house from main floor to the basement",19.5,8,3,1,"2.51",NA,1,"2.48",NA,1,"2.53",NA,1,0,1,0,0,0,NA
34067,"annual_2023","2023-05-26",0,NA,"Carpeted stairs inside my house.",19.5,15,3,1,"1.50",NA,1,"1.78",NA,1,"1.65",NA,0,0,1,0,0,0,NA
34224,"annual_2023","2023-05-29",0,NA,"Inside house",8.5,8,1,1,"1.26",NA,1,"1.14",NA,1,"1.54",NA,1,0,1,0,0,0,NA
34295,"annual_2023","2023-04-08",1,0,"Concrete stairs from yard at lower level to street level approx 20 ft. elevation.",21,12,1,1,"8.56",NA,1,"10.49",NA,0,NA,"Got to the 4th step, sniffed the air and decided to turn around and go back down.",0,0,0,0,0,1,"Stuffed skunk and stuffed cat figure."
34486,"annual_2023","2023-05-02",0,NA,"Inside the house. Wooden steps",19,16,2,1,"1.31",NA,1,"1.23",NA,1,"1.63",NA,1,0,0,0,0,0,NA
34588,"annual_2023","2023-05-05",0,NA,"Inside my house, stairs are carpeted.",20,9,1,1,"1.17",NA,1,"0.81",NA,1,"0.86",NA,1,0,0,0,0,0,NA
34666,"annual_2023","2023-04-30",1,0,"inside my house, wooden stairs with a rug runner.",17,14,2,1,"6.93",NA,1,"7.39",NA,1,"5.29",NA,1,0,1,0,0,0,NA
34685,"annual_2023","2023-04-23",0,NA,"Inside my house, wooden stairs",19.5,15,3,1,"1.61",NA,1,"1.93",NA,1,"1.67",NA,1,0,1,0,0,0,NA
35047,"annual_2023","2023-04-07",1,0,"inside the house.  Wood stair",18,10,1,1,"2.36",NA,1,"2.02",NA,1,"2.08",NA,1,0,0,0,0,0,NA
35284,"annual_2023","2023-05-15",0,NA,"At a park",11.5,15,3,1,"2.28",NA,1,"2.48",NA,1,"2.10",NA,0,0,1,0,0,0,NA
35375,"annual_2022","2022-07-23",1,0,"Inside house, carpet",16,9,5,1,"1.3",NA,1,"1.2",NA,1,"1.29",NA,1,0,1,0,0,0,NA
35448,"annual_2023","2023-05-07",1,0,"inside my house, fully carpeted",20,8,1,1,"1.2",NA,1,"1.2",NA,1,"1.3",NA,1,0,1,1,0,0,NA
35526,"annual_2023","2023-05-21",1,0,"From the 1st floor to the 2nd floor",18,14,1,1,"0.05",NA,1,"0.06",NA,1,"0.05",NA,1,0,0,0,0,0,NA
35637,"annual_2022","2022-08-02",0,NA,"in my house, carpet surface",20.5,6,2,1,"0.48",NA,1,"0.51",NA,1,"0.53",NA,1,0,0,0,0,0,NA
35787,"annual_2023","2023-04-24",1,0,"inside my house, and they are carpeted.",7.5,15,2,1,"1.46",NA,1,"1.60",NA,1,"1.59",NA,0,1,0,0,0,0,NA
35824,"annual_2023","2023-05-21",0,NA,"civic center parking lot",14,8,3,1,"1.22",NA,1,"1.57",NA,1,"1.45",NA,1,0,0,0,0,0,NA
35912,"annual_2022","2022-08-01",1,0,"Stairs to second floor of my home. Stairs are carpeted.",7,13,4,1,"1.72",NA,1,"1.6",NA,1,"1.56",NA,1,0,1,0,0,0,NA
35915,"annual_2023","2023-05-08",1,0,"inside my house",18,14,2,1,"1.88",NA,1,"2.23",NA,1,"1.89",NA,1,0,0,0,0,0,NA
36074,"annual_2023","2023-05-18",0,NA,"wood, inside house",18,8,1,1,"3.30",NA,1,"2.97",NA,1,"2.12",NA,1,0,1,0,0,0,NA
36088,"annual_2022","2022-06-18",1,0,"inside my house (carpet)",20.5,15,3,1,"3",NA,1,"2.8",NA,1,"2.8",NA,1,0,1,0,0,0,NA
36131,"annual_2023","2023-05-14",0,NA,"Basement stairs",21.5,9,2,1,"3.61",NA,1,"2.95",NA,1,"3.03",NA,1,0,1,0,0,0,NA
36275,"annual_2023","2023-05-19",1,0,"inside my house, with carpet",19,13,2,1,"02.81",NA,1,"02.85",NA,1,"02.54",NA,0,0,1,1,0,0,NA
36691,"annual_2023","2023-04-26",0,NA,"Inside carpeted stairs to second floor.",19,9,4,1,"02.20",NA,1,"01.90",NA,1,"01.98",NA,1,0,0,0,0,0,NA
36814,"annual_2023","2023-05-14",1,0,"In my friend Christy's house",18,9,3,1,"3.05",NA,1,"2.15",NA,1,"2.25",NA,0,0,1,0,0,0,NA
36879,"annual_2022","2022-07-20",0,NA,"In my house to the second floor, carpeted.",20,14,2,1,"1.75",NA,1,"1.49",NA,1,"1.43",NA,1,0,0,0,0,0,NA
36879,"annual_2023","2023-04-23",1,0,"main stairs, carpeted",19,15,1,1,"2.13",NA,1,"1.98",NA,1,"1.80",NA,1,0,0,0,0,0,NA
36960,"annual_2023","2023-04-16",1,0,"inside my house, carpeted",19,8,1,1,"3.13",NA,1,"3.03",NA,1,"2.87",NA,1,0,0,0,0,0,NA
37074,"annual_2023","2023-04-30",1,0,"inside house, footing is painted wood",20.5,14,2,1,"1.72",NA,1,"2.31",NA,1,"1.90",NA,1,0,0,0,0,0,NA
37355,"annual_2023","2023-05-27",1,0,"inside my house, carpet",20,13,2,1,"2.63",NA,1,"2.16",NA,1,"2.13",NA,1,1,0,0,0,1,"call her name"
37367,"annual_2022","2022-07-02",1,0,"inside my house - carpet",15,12,3,1,"4",NA,1,"3.4",NA,1,"3.5",NA,1,0,0,0,0,0,NA
37453,"annual_2023","2023-04-30",1,0,"in my house; carpet",19,11,3,1,"0.75",NA,1,"0.86",NA,1,"0.98",NA,0,0,1,1,0,0,NA
37458,"annual_2022","2022-07-21",1,0,"Inside my house; wood",19,11,3,1,"3.47",NA,1,"3.57",NA,1,"2.97",NA,0,0,1,0,0,0,NA
37535,"annual_2023","2023-04-16",0,NA,"carpet",19,15,2,1,"1.16",NA,1,"1.18",NA,1,"1.15",NA,0,1,0,0,0,0,NA
37556,"annual_2023","2023-05-28",1,0,"Concrete stairs leading from door to basement up to the concrete patio at ground level",19,10,2,1,"1.76",NA,1,"1.66",NA,1,"1.65",NA,1,0,1,0,0,0,NA
37731,"annual_2023","2023-05-24",1,0,"Inside my house, carpeted stairs",19.5,11,2,1,"1.20",NA,1,"1.47",NA,1,"1.27",NA,1,0,1,0,0,0,NA
37949,"annual_2023","2023-04-29",0,NA,"inside the house carpet",20.5,8,1,1,"6.1",NA,1,"6.1",NA,1,"6.1",NA,1,0,0,0,0,0,NA
38017,"annual_2023","2023-05-02",0,NA,"inside my house",17.5,8,2,1,"1.74",NA,1,"1.07",NA,1,"1.47",NA,1,0,1,0,0,0,NA
38195,"annual_2023","2023-05-13",0,NA,"Concrete steps outside my house.",19,8,1,1,"3.77",NA,1,"3.34",NA,1,"3.69",NA,1,0,1,0,0,0,NA
38493,"annual_2023","2023-05-08",0,NA,"to family room",19,8,2,1,"1.16",NA,0,NA,"missed stop button",1,"1.19",NA,1,0,1,0,0,0,NA
39072,"annual_2023","2023-05-14",0,NA,"Inside house.  Wooden basement stairs with no carpet, or stair runners.  9 steps",21,9,2,1,"1.14",NA,1,"1.20",NA,1,"1.06",NA,1,0,1,0,0,0,NA
39165,"annual_2023","2023-05-15",0,NA,"Inside my house.",15,8,1,1,"0.94",NA,1,"1.00",NA,1,"1.13",NA,1,0,0,0,0,0,NA
39352,"annual_2022","2022-07-06",1,0,"stairwell curved 90 degrees up one flight of a 2 story home. stair flooring is smooth hardwood.",7.5,17,4,1,"2.98",NA,1,"2.74",NA,1,"2.69",NA,1,0,0,0,0,0,NA
39352,"annual_2023","2023-04-30",0,NA,"inside a house, carpet, one 90 degree turn at bottom of stairs",19,15,3,1,"5.87",NA,1,"5.58",NA,1,"4.72",NA,1,0,1,0,0,0,NA
39470,"annual_2023","2023-05-08",1,0,"Inside my house, carpeted stairs, tile flooring at bottom of stairs",21,14,3,1,"1.83",NA,1,"1.8",NA,1,"1.62",NA,1,0,1,0,0,0,NA
39517,"annual_2023","2023-05-15",1,0,"Set of stairs at the dog park",7.5,23,2,0,NA,"She stopped to look for squirrels",1,"4.27",NA,0,NA,"She paused mid-way to look for squirrels",0,0,1,0,0,0,NA
39527,"annual_2023","2023-05-14",1,0,"Stairs from ground floor to first floor which is carpeted and has 11 treads (not including the bottom but including the top)",29,11,2,1,"1.36",NA,1,"1.36",NA,1,"1.29",NA,1,0,0,0,0,0,NA
39599,"annual_2023","2023-05-13",1,0,"I live in a loft. There is a set of metal stairs (with metal tread called ""diamond plate"" to prevent slip) connecting the bedroom upstairs to the rest of the space downstairs. Azuki goes down these stairs almost every morning (except if I occasionally sleep downstairs on the couch for some reason), although she's a little nervous going down the stairs and sometimes I have to coax her. She goes up the stairs less often because we have a routine where I pick her up off her dog bed downstairs (she's usually napping before we go up to bed) and carry her up to bed. But, she does go up the stairs when she's interested in something.",19,16,3,1,"10.67",NA,1,"9.73",NA,1,"10.56",NA,1,0,1,0,0,0,NA
39742,"annual_2023","2023-05-11",0,NA,"Inside house; carpeted",20.5,13,2,1,"5.40",NA,1,"4.93",NA,1,"5.91",NA,1,0,1,1,0,0,NA
39746,"annual_2023","2023-04-30",0,NA,"basement stairs, hardwood",18.5,14,1,1,"1.80",NA,1,"1.57",NA,1,"1.87",NA,1,0,1,0,0,0,NA
39855,"annual_2023","2023-05-25",1,0,"Inside my house; carpet",21,8,1,1,"3.2",NA,1,"3.38",NA,1,"4.03",NA,0,0,1,0,0,0,NA
39902,"annual_2023","2023-04-10",1,0,"Exterior stairs on my house that my dog uses to enter my house.  Wooden stairs.  Wooden base and wooden deck at top of stairs. I'm",18,15,1,1,"3.90",NA,1,"3.95",NA,1,"3.85",NA,0,0,1,0,0,0,NA
39923,"annual_2023","2023-04-18",0,NA,"Outdoor wooden stairs at my house, leading to the main entrance.",17.5,8,2,1,"11.66",NA,1,"8.10",NA,1,"12.02",NA,1,0,0,0,0,0,NA
40043,"annual_2023","2023-04-14",1,0,"Wood stairs  from the yard to the entrance of my house.  11steps",20,11,3,1,"12",NA,1,"14",NA,1,"15",NA,0,0,0,0,1,0,NA
40075,"annual_2023","2023-05-21",1,1,"Wood stairs up to our house",18.5,8,2,1,"1.45",NA,1,"1.14",NA,1,"1.72",NA,1,0,0,0,0,0,NA
40176,"annual_2023","2023-04-28",1,0,"concrete steps to a high house landing room on a skeet field.",22,10,1,1,"1.74",NA,1,"1.67",NA,1,"1.78",NA,1,0,0,0,0,0,NA
40204,"annual_2022","2022-07-19",0,NA,"Carpeted inside my house",19,14,3,1,"2.22",NA,1,"1.96",NA,1,"2.20",NA,1,0,1,0,0,0,NA
40321,"annual_2023","2023-05-07",0,NA,"Bike trail bridge with stairs. Concrete",15,8,2,1,"182",NA,1,"251",NA,1,"212",NA,1,0,1,0,0,0,NA
40343,"annual_2022","2022-07-19",0,NA,"In my house",19,10,3,1,"5.66",NA,1,"4.81",NA,1,"6.04",NA,0,0,1,0,0,0,NA
40356,"annual_2023","2023-04-23",0,NA,"Wooden steps from a basement to first floor at a friend's house. My dog is familiar with these step",21,10,1,1,"1.68",NA,1,"2.44",NA,1,"1.34",NA,0,0,1,0,0,0,NA
40371,"annual_2023","2023-05-25",0,NA,"At a school yard and made of concrete.",21.5,16,3,1,"5.17",NA,1,"4.87",NA,1,"2.97",NA,1,0,0,0,0,0,NA
40386,"annual_2022","2022-08-01",0,NA,"Wooden stairs in my house",21,13,3,1,"1.72",NA,0,NA,"Messed up timing",1,"2.15",NA,1,0,0,0,0,0,NA
40480,"annual_2023","2023-05-14",1,0,"steps from deck to back yard8",20.5,10,3,1,"2.79",NA,1,"2.70",NA,1,"2.42",NA,1,0,0,0,0,0,NA
40592,"annual_2023","2023-04-14",0,NA,"Backyard my house concrete",17,5,3,1,"2.24",NA,1,"2.34",NA,1,"2.04",NA,1,0,0,0,0,0,NA
40707,"annual_2023","2023-05-07",0,NA,"Southwest stairwell on 2nd floor of Issaquah Transit Center parking garage.",17,9,2,1,"1.34",NA,1,".94",NA,1,"1.31",NA,1,0,1,0,0,0,NA
40711,"annual_2023","2023-05-15",0,NA,"Inside stairs",20.5,13,3,1,"1.42",NA,1,"1.55",NA,1,"1.41",NA,1,0,0,0,0,0,NA
40744,"annual_2023","2023-05-18",0,NA,"Inside stairs to 2nd floor",16,14,3,1,"3.12",NA,1,"2.58",NA,1,"2.40",NA,1,0,1,1,0,0,NA
40750,"annual_2023","2023-05-13",1,0,"inside house - carpet",17,9,3,1,"1.30",NA,1,"1.23",NA,1,"1.20",NA,1,0,0,0,0,0,NA
40859,"annual_2023","2023-04-23",0,NA,"carpeted stairs inside our home",19,10,3,1,"2.72",NA,1,"2.36",NA,1,"2.30",NA,1,0,1,0,0,0,NA
40975,"annual_2023","2023-05-14",0,NA,"Deck stairs",19,9,1,1,"5.43",NA,1,"4.45",NA,1,"5.40",NA,0,0,1,0,0,0,NA
41125,"annual_2022","2022-07-06",1,0,"Inside my house",19,16,3,1,"2.55",NA,1,"2.53",NA,1,"2.43",NA,1,0,0,0,0,0,NA
41125,"annual_2023","2023-05-11",1,0,"inside my house",19,9,2,1,".86",NA,1,".90",NA,1,"1.43",NA,1,0,1,0,0,0,NA
41323,"annual_2023","2023-05-09",0,NA,"Inside my house. Carpet",19,14,3,1,"2.93",NA,1,"2.98",NA,1,"2.91",NA,1,0,0,0,0,0,NA
41468,"annual_2023","2023-04-27",0,NA,"It is a set of stairs inside my house made entirely of wood.",18.5,17,3,1,"3.15",NA,1,"3.10",NA,1,"3.10",NA,1,0,0,0,0,0,NA
41760,"annual_2022","2022-07-17",1,0,"front stairs up from sidewalk, concrete",18,11,3,1,"1.50",NA,1,"1.38",NA,1,"1.56",NA,1,0,1,0,0,0,NA
41760,"annual_2023","2023-05-15",0,NA,"It is hot day here and just finished the jogging and running portions of tests. So chose this set of stairs to my front door that are more in shade.",19.5,11,1,1,"1.30",NA,1,"2.30",NA,1,"2.05",NA,1,0,1,0,0,0,NA
41769,"annual_2023","2023-05-12",1,0,"located indoors, connecting the lower level to the upstairs.  It is carpeted.",20.5,8,3,1,"6.84",NA,1,"3.93",NA,1,"4.62",NA,1,0,1,1,0,0,NA
41770,"annual_2023","2023-05-16",1,0,"basement stairway with 14 steps",18.5,14,1,1,"5.5",NA,1,"6.5",NA,0,NA,"Dukes Back is hurting.",0,0,1,0,0,0,NA
41832,"annual_2023","2023-04-17",1,0,"Inside house, carpeted",19,16,1,1,"5.74",NA,1,"5.81",NA,1,"3.95",NA,1,0,1,0,0,0,NA
41861,"annual_2023","2023-04-15",1,0,"inside my house",20,12,1,1,"5.72",NA,1,"4.71",NA,1,"4.06",NA,1,0,1,0,0,1,"squat and open my arms wide (he is mostly deaf now)"
41914,"annual_2023","2023-05-01",1,0,"Inside my daughter's home, luxury plank flooring.",20.5,17,3,1,"2.47",NA,0,NA,"slipped 2/3 of the way up",0,NA,"slipped 2/3 of the way up",1,0,1,0,0,0,NA
42061,"annual_2023","2023-04-30",1,0,"Outside stairs to front door",19,8,2,1,".86",NA,1,"1.05",NA,1,".93",NA,1,0,0,0,0,0,NA
42062,"annual_2023","2023-05-16",1,0,"Inside my house with wood footing.",19.5,18,2,1,"6.08",NA,1,"5.96",NA,1,"5.85",NA,0,0,0,0,1,0,NA
42134,"annual_2023","2023-04-17",0,NA,"Carpeted stairs in my house",19,15,4,1,"1.71",NA,1,"1.50",NA,1,"1.30",NA,1,0,1,0,0,0,NA
42165,"annual_2023","2023-05-17",0,NA,"Inside my house.  Bottom landing is tile, top landing is laminate with a rug and the steps are carpet.",19,14,3,1,"1.27",NA,1,"1.74",NA,1,"1.74",NA,1,0,0,0,0,0,NA
42178,"annual_2023","2023-06-01",1,0,"These are carpeted stairs that go from the main floor of my house to the lower level (TV room and frequent dog hangout).  The stairs are straight until the sixth step, then angle slightly to the left and are straight until the top.  Chili charges up and down these stairs multiple times every day.",19,15,5,1,"2.85",NA,1,"2.25",NA,1,"2.31",NA,1,0,0,0,0,0,NA
42199,"annual_2023","2023-05-07",0,NA,"apartment concrete",18,18,1,1,"6",NA,1,"5",NA,1,"4.5",NA,1,0,1,0,0,0,NA
43283,"annual_2023","2023-04-30",0,NA,"between the main level and basement",19,8,3,1,"1.08",NA,1,"1",NA,1,"1",NA,1,0,0,0,0,0,NA
43576,"annual_2023","2023-05-09",0,NA,"Outside my house. Concrete stairs.",17,19,3,1,"3.1",NA,1,"3",NA,1,"3.2",NA,1,0,0,0,0,0,NA
43622,"annual_2022","2022-07-19",0,NA,"Lesley's stairs",20.5,10,3,1,"1.88",NA,1,"1.90",NA,1,"1.40",NA,1,0,1,0,0,0,NA
43631,"annual_2023","2023-05-14",0,NA,"inside house",19,8,2,1,"2.25",NA,1,"1.55",NA,1,"1.46",NA,0,0,1,1,0,0,NA
43757,"annual_2023","2023-05-07",1,0,"inside my home, carpeted",19,15,1,1,"1.63",NA,1,"1.53",NA,1,"1.56",NA,0,1,0,0,0,0,NA
43835,"annual_2022","2022-07-19",1,0,"wooden stairs in my house",18.5,9,2,1,"2.48",NA,0,NA,"The person at the top of the stairs gave Samhain the treat too early.  He didn't get all four paws on the last step.",1,"3.41",NA,1,0,1,0,0,0,NA
43835,"annual_2023","2023-04-29",1,0,"Inside my house, first floor to second",18,8,2,1,"1.8",NA,1,"1.9",NA,1,"1.5",NA,1,0,1,0,0,0,NA
43977,"annual_2023","2023-05-12",1,0,"Stairs to the deck",19.5,9,1,1,".96",NA,1,".98",NA,1,".92",NA,1,0,1,0,0,0,NA
44080,"annual_2023","2023-04-29",1,0,"inside my house down to basement, he does these stairs all the time. carpet all the way",20.5,14,2,1,"5.59",NA,1,"5.37",NA,1,"5.24",NA,1,0,1,0,0,0,NA
44156,"annual_2023","2023-05-03",1,0,"inside the house  textured vinyl stair treads for footing",19,14,3,1,"3.6",NA,1,"2.2",NA,1,"1.7",NA,1,0,1,0,0,0,NA
44188,"annual_2023","2023-05-22",0,NA,"Inside our house",20.5,13,2,1,"4.92",NA,0,NA,"Sister was upset she couldn't be on stairs",0,NA,"Sister was upset",0,0,1,0,0,0,NA
44350,"annual_2023","2023-04-30",0,NA,"In my house, wood",18.5,9,2,1,"2.66",NA,1,"2.30",NA,1,"2.20",NA,1,0,1,0,0,0,NA
44359,"annual_2023","2023-05-05",1,0,"My sister's house, carpeted stairs",18.5,14,1,1,"3.87",NA,1,"3.03",NA,1,"3.62",NA,1,0,1,0,0,0,NA
44385,"annual_2023","2023-04-26",0,NA,"inside the home",19,8,1,1,"2.24",NA,1,"2.44",NA,1,"2.37",NA,0,0,1,0,0,0,NA
44427,"annual_2023","2023-05-03",1,0,"stairs to loft, laminate",19,13,3,1,"2.39",NA,1,"2.35",NA,1,"2.32",NA,1,0,0,0,0,0,NA
44430,"annual_2023","2023-04-23",0,NA,"In home, carpeted",18,14,3,1,"3.08",NA,1,"3.02",NA,1,"2.68",NA,1,0,1,0,0,0,NA
44449,"annual_2023","2023-05-18",1,0,"Outside deck. Wood stairs",19,12,3,1,"1.41",NA,1,"1.4",NA,1,"1.39",NA,1,0,0,0,0,0,NA
44585,"annual_2023","2023-05-07",1,0,"Wood",19,8,1,1,"2",NA,1,"2",NA,1,"2",NA,1,0,0,0,0,0,NA
44693,"annual_2023","2023-04-25",0,NA,"Inside my house, wood",19,14,3,0,NA,"She was too excited and slipped when she started up.",1,"2.88",NA,1,"3.14",NA,1,0,1,0,0,0,NA
44749,"annual_2022","2022-07-31",0,NA,"house",19,11,1,1,"2.11",NA,1,"2.08",NA,1,"2.26",NA,1,0,1,0,0,0,NA
44749,"annual_2023","2023-04-30",1,0,"inside house, carpet",18,11,1,1,"1.81",NA,1,"2.1",NA,1,"1.65",NA,1,0,0,0,0,0,NA
44977,"annual_2023","2023-05-07",1,0,"Inside the house, the main staircase that Odin uses several times a day every day. The stairs are carpeted",20.5,13,3,1,"3.33",NA,1,"4.54",NA,1,"4.40",NA,1,0,1,0,0,0,NA
45000,"annual_2022","2022-07-04",1,0,"inside my house",20.5,14,4,1,"5.4",NA,1,"4.875",NA,1,"5.74",NA,1,0,0,0,0,0,NA
45026,"annual_2022","2022-07-23",1,0,"Carpeted stairs leading from the kitchen down to the basement",20.5,12,3,1,"1.46",NA,1,"1.16",NA,1,"1.54",NA,1,0,1,0,0,0,NA
45216,"annual_2023","2023-04-11",1,0,"Inside house, carpeted",16,10,3,1,"1.76",NA,1,"2.44",NA,1,"1.58",NA,1,0,0,0,0,0,NA
45225,"annual_2023","2023-05-17",0,NA,"a set if concrete stairs outside leading to the inside a building in the back.",14.5,8,2,1,"1.55",NA,1,"1.52",NA,1,"1.53",NA,1,0,1,0,0,0,NA
45424,"annual_2023","2023-05-15",0,NA,"Inside house, leading to basement, concrete",15,12,2,1,".03",NA,1,".04",NA,1,".05",NA,1,0,0,0,0,0,NA
45500,"annual_2022","2022-07-24",0,NA,"Carpeted stairs inside the house",19,13,2,1,"2.78",NA,1,"2.59",NA,1,"2.53",NA,1,0,1,0,0,0,NA
45508,"annual_2022","2022-08-03",1,0,"Wooden stairs inside our boat",26,9,3,1,"10.73",NA,1,"8.66",NA,1,"10.92",NA,0,0,1,1,0,0,NA
45510,"annual_2023","2023-05-24",1,0,"inside my house, wood",16,15,2,1,"1.88",NA,1,"2.02",NA,1,"2.37",NA,1,0,0,0,0,0,NA
45569,"annual_2023","2023-04-16",1,0,"In house, wood",20.5,16,1,1,"5.24",NA,1,"4.75",NA,1,"4.57",NA,0,0,1,0,0,0,NA
45596,"annual_2022","2022-07-24",1,0,"Stairs from ground level to basement inside house, carpet footing.",21.5,10,1,1,"1.45",NA,1,"1.50",NA,1,"1.51",NA,0,0,1,0,0,0,NA
45596,"annual_2023","2023-05-17",0,NA,"inside my house",22,10,3,1,"3.68",NA,1,"2.63",NA,1,"2.23",NA,0,0,1,0,0,0,NA
45659,"annual_2023","2023-05-20",1,0,"inside the house  main stairs of the house  wooden stairs with carpet treads",20,12,1,1,"5.00",NA,1,"6.12",NA,1,"5.31",NA,1,0,1,0,0,0,NA
45723,"annual_2023","2023-05-22",1,0,"inside house - carpet",18,14,3,1,"3.33",NA,1,"3.70",NA,1,"3.79",NA,1,0,1,0,0,0,NA
45844,"annual_2023","2023-04-09",1,0,"inside the house, leading from main floor upstairs. carpeted.",18,13,1,1,"2.23",NA,1,"2.15",NA,1,"1.67",NA,1,0,1,0,0,0,NA
45918,"annual_2022","2022-07-09",0,NA,"stairs inside the house which Flash uses daily to go to bed at night and come down in the morning, and sometimes during the day",18.5,11,2,1,"2.18",NA,1,"2.12",NA,1,"2",NA,1,0,0,0,0,0,NA
45918,"annual_2023","2023-05-04",1,0,"inside the house",18.5,11,2,1,"2.54",NA,1,"2.41",NA,1,"2.59",NA,1,0,0,0,0,0,NA
45929,"annual_2023","2023-04-16",1,0,"In the house, basement to upstairs. Wood stairs with carpet on most of the surface",18,12,1,1,"1.95",NA,1,"2.95",NA,1,"2.28",NA,1,0,0,0,0,0,NA
45988,"annual_2023","2023-04-25",0,NA,"inside the house going to master. wood with carpet rugs that are taped down on stairs and landings so no one dies.",20,11,2,1,"1.70",NA,1,"1.68",NA,1,"1.66",NA,1,0,1,0,0,0,NA
