COMPOUND,QC(I)1,QC(I)2,QC(I)3,QC(I)4,QC(I)5,QC(I)6,QC(I)7,QC(I)8,QC(I)9,QC(I)10,QC(I)11,QC(I)12,QC(I)13,QC(I)14,QC(I)15,QC(I)16,QC(I)17,QC(I)18,QC(I)19,QC(I)20,QC(S)1_Batch4,QC(S)2_Batch4,QC(S)3_Batch4,QC(S)4_Batch4,QC(S)5_Batch4,QC(S)6_Batch5,QC(S)7_Batch5,QC(S)8_Batch5,QC(S)9_Batch5,QC(S)10_Batch5,QC(S)11_Batch6,QC(S)12_Batch6,QC(S)13_Batch6,QC(S)14_Batch6,QC(S)15_Batch6,QC(S)16_Batch7,QC(S)17_Batch7,QC(S)18_Batch7,QC(S)19_Batch7,QC(S)20_Batch7
cis-Aconitate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Suberic Acid,166183,169873,161135,167283,168572,152748,175274,151766,164191,160391,154327,155676,144927,151998,148342,142152,145625,151725,145783,140917,219831,212047,198671,211226,213091,208196,191221,203880,203547,193539,198561,195754,199505,199987,217935,191731,207441,207036,194400,195475
Indole-3-Acetic Acid,196797,193347,184638,200246,197681,214195,200471,208989,194724,181234,172148,165372,178833,168333,157403,202372,159865,174895,182919,183651,30423,32620,29916,35285,35274,36986,30282,25865,33614,31677,32676,24660,26972,29531,38351,33369,26758,26955,30758,26070
Citrulline,9861154,9643153,9413096,9244308,9002267,9239959,8609347,8980679,8600512,8464425,8617180,8113341,8088550,7949742,7615668,7663843,8013102,7769857,7254454,7449098,25040491,25055701,24039729,23880616,23677249,23486974,23230958,22866428,22721761,22599910,22234963,21354100,20434928,21672296,21866281,21880175,20916304,21411391,20567131,21096537
N-Acetyl-Aspartate (NAA),858338,824955,757770,683175,622124,664758,512041,520519,528856,513853,459460,431046,446612,389802,364686,258253,178268,332016,207168,204180,1630491,1478469,1371028,1296693,1193066,1076977,1131939,831567,973871,955301,881732,862721,895885,815649,464590,568947,122344,604403,450513,456759
Ascorbic Acid (Vit. C),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-isoPropylmalic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-isoPropylmalic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
n-Formylmethionine,47695,44885,48397,40371,44772,42081,40767,38274,37298,36896,42117,40140,38645,38723,40833,39214,40647,38610,37907,36686,172214,168442,169211,173795,171197,159037,171054,158598,165009,162425,153981,154585,154615,161207,148650,150521,155372,157058,155635,149939
Hippuric Acid,1766804,1796915,1772290,1757981,1766570,1711106,1698013,1648502,1528615,1568274,1559457,1526624,1554218,1552879,1512287,1534950,1468683,1497115,1437391,1481316,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Inositol,1021128,1014061,1030429,1026130,958441,978658,986755,967000,946821,936798,950157,891626,875263,883327,866324,899064,875024,872385,867155,889508,704502,694907,699331,672146,686106,687919,668360,626567,660360,643203,654334,625024,635328,623976,603633,633211,620717,616843,604454,634072
Glucose,20605738,19743361,20188902,20585009,19612101,19814409,19726365,19055684,20007568,18905664,18360885,16341743,17849176,17225734,17851077,18498285,16686226,16771670,16037314,17167852,22750443,20490324,23690867,22094870,23464545,22850393,20948588,21706192,21308530,21818043,19976156,18958043,21200066,20501515,19995879,19537563,19626356,18168607,18837872,17656537
Mannose,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fructose,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OH-Phenylpyruvate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Theophylline,838329,870397,889361,865366,870106,887708,866201,848532,886871,867182,828497,865927,812984,791566,783932,799369,799502,783390,795645,797513,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sorbitol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Homovanilate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mannitol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4-Pyridoxic Acid,224628,212571,210897,202113,196794,201901,226333,214659,207186,204783,218542,216156,214381,218143,183564,200867,219506,203647,203334,204696,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phosphoserine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2/3-Phosphoglyceric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Azelaic Acid,501484,491001,513918,519230,484565,505094,497140,484226,446419,466430,451640,458512,447487,460771,451069,450871,442104,437826,446045,422825,481074,482827,486905,483343,474339,450685,480638,440814,443068,440297,450749,462716,450548,485724,461629,462242,465309,478777,471541,467736
N-Ac-L-Glutamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192685,173946,168106,160759,120105,156194,128684,124953,123158,124161,124778,130441,120121,120823,102894,89707,113551,95147,80442,73184
Kynurenic Acid,838685,851094,908042,916994,929804,1013931,986979,1007635,1076610,1017245,1024201,967530,1048384,960365,967449,1019173,1020394,1005408,1081441,1044772,5792649,5671002,5638678,5717088,5742220,5835634,5823537,5723350,5615035,5637726,5716305,5296540,5653313,5790204,5613808,5712294,5388925,5630548,5662513,5600379
N-Ac-Glutamate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,242264,217774,203182,180587,160780,150990,159798,121285,148442,148742,135554,137309,132045,141632,92982,97884,72247,137571,92574,104410
Indole-3-Propionate,324314,324362,312355,308321,321652,320511,324347,318371,308992,301976,326339,297643,316633,308174,290089,290120,295624,289367,293548,291867,383801,386920,364828,397080,405348,386766,404402,407661,393524,373630,391391,366253,363829,381311,373854,367544,370649,384579,369853,373166
5-Hydroxyl-Indole-3-Acetic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-Ac-Methionine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Citric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glucoronate,424262,411258,426635,407736,371099,392319,366823,373298,355956,357779,354399,333389,338871,329863,324591,336072,326899,332525,325887,340126,604179,585422,552870,537382,513070,540500,504868,500372,503339,490503,494063,457378,461264,486702,482447,470996,471683,470169,450827,459915
4-Hydroxy-3-Nitrophenylacetate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vanilmandelic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Erythrose-4-Phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cysteine-S-Sulfate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IndolePyruvate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xanthurenic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Indole-3-Lactate,511747,527632,498503,505677,497239,482023,526842,486703,521249,469511,491041,448785,452140,457654,474103,481210,425199,445297,446965,454388,595445,548290,541049,541770,557419,558187,511816,531721,501934,517927,480994,472619,491681,497272,484435,513628,460635,470370,495236,460359
N-Ac-Phenylalanine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,213586,195136,212845,191493,215314,204851,200704,207957,190935,171229,177910,172408,191616,182125,177786,197001,191898,190842,192131,170290
3-Indoxyl Sulfate,7156668,6923586,7036903,6731110,6470576,6352539,6309062,6075982,5898361,5975258,6009394,5920522,5823425,5658869,5668558,5689084,5345791,5339416,5336777,5218471,16005628,15587770,15506919,15165782,14559922,14771802,14455437,13770454,13760816,13066144,13258617,12943993,12864438,13076296,12628197,12952678,12760029,12932406,12555388,12481358
Pantothenate,396278,381314,377463,319122,383482,347259,373636,367910,368766,395624,366036,410086,357039,345299,343132,375883,424785,397859,379891,389536,563126,595468,519379,517096,522546,475556,526004,520620,482842,532126,495800,568567,563476,558512,517774,563184,553807,559686,560487,584784
Cystathionine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,750989,746649,754132,735534,707727,705075,722101,664463,726033,712440,696431,688407,686900,693955,627911,694725,698072,693051,692887,670522
N-Ac-Tyrosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92998,108963,89717,95756,87198,88658,86853,85789,86902,93431,96016,97940,92137,99481,96022,98773,108591,106931,102069,107811
Myristic Acid,22420,22820,21251,26271,28214,33499,25191,29340,26751,24675,23725,24621,26062,27538,29426,29635,25003,32405,31177,29319,21096,20355,19529,22042,18892,20704,21823,21674,22669,25045,23990,23893,24068,22983,20146,23350,23270,24235,22541,27331
Ribose-5-P,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34286,34199,35147,32600,27835,32814,30481,29412,31848,29352,30969,31028,28110,33821,27106,30303,28498,29622,27339,25246
Ribulose 5-Phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Melatonin,38583,36914,37116,36274,31077,31170,33241,31128,30806,32491,35408,30722,31816,36248,32266,31069,30574,28701,30841,28983,12449,13330,12902,10861,11584,12047,14367,10449,10225,11545,10203,10858,11130,11090,8814,9472,10924,9488,10119,10301
Tetrahydrobiopterin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thymidine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pseudouridine,2394523,2181332,2139080,2119701,2149078,2102202,2049842,2137228,1918660,1929006,1899621,1878630,2100192,2006233,2053648,2049469,2094836,2074917,2073861,2069449,2838034,2597706,2371604,2513478,2410849,2588278,2406115,2448743,2181856,2266903,2214735,2222527,2534054,2483823,2466630,2502829,2492782,2408304,2379627,2416225
Biotin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-Ac-Tryptophan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,193366,203937,196488,195884,200948,193158,185047,182952,179239,195814,179168,172575,176695,177189,171783,173822,161075,160864,175938,174718
Pyridoxal-5-P,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Palmitic Acid,388343,423812,407391,388827,417363,415242,396746,412063,410628,388711,405207,403883,366241,409240,381341,384472,383037,357082,411175,382023,226987,241112,251277,239727,257893,253295,240632,214636,225854,248815,247775,225975,216557,228784,244890,235671,237436,230502,224533,252140
5-Methyluridine,138175,137919,129586,124467,129296,132778,131656,127304,113543,133578,127564,121749,121983,127707,129675,122357,124934,138824,132096,131750,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5-Hydroxymethyl-2-Deoxyuridine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glucosamine-6-Phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G6P,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32657,29964,30662,32167,30107,29700,28260,31682,28892,29967,28543,27742,28067,31636,28129,28041,29430,28177,27340,28706
G1P/F1P/F6P,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phenylacetylglutamine,2107594,1862836,1888920,1730785,1730774,1716332,1729812,1677566,1652056,1690977,1572022,1556040,1552800,1495703,1495657,1518196,1573084,1504572,1486593,1481833,189329,178324,178584,177330,159523,153988,175731,149742,149638,147283,159528,155210,148391,153242,156591,156260,163025,151035,146619,138532
MOPEG Sulfate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Margaric Acid,31868,29804,27558,27835,28808,33220,33947,29498,35303,31698,31304,28433,32691,26267,30522,34453,33217,32686,29537,27450,30008,28641,32436,33081,31967,27743,28147,30723,31951,34479,33645,35014,30368,33469,31031,28725,31998,33551,35152,32458
6-Phosphogluconic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Linolenic Acid,108334,101068,101612,104176,103297,101418,99009,93067,104407,96317,97395,91750,93826,90807,91389,88911,87439,88387,90831,92096,96617,92354,87779,90229,97328,94779,91100,94572,91143,96975,99254,91059,87244,92997,95937,96556,99100,104835,101351,93515
Linoleic Acid,632270,635271,643802,612074,629060,618607,641072,625703,584357,627452,619514,586074,587506,596434,565030,579192,568167,575870,561884,566927,682129,688883,699119,645822,697924,682004,694144,668945,678985,636782,633612,629223,655598,617163,610606,614803,611916,581540,605320,603187
Xanthosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sedoheptulose 7-Phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Retinoic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-Acetyl-Aspartyl-Glutamate (NAAG),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arachidonate,2222911,2261618,2284725,2116756,2212725,2197980,2197735,2157481,2177229,2145295,2097220,2051850,2069114,2049365,2149335,2167974,2075999,2099994,2083181,2068330,1464214,1482376,1469521,1514479,1513215,1486108,1471121,1424155,1438823,1451541,1447480,1436495,1403171,1438703,1407954,1352894,1358089,1369361,1353814,1363013
DCMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Reduced Glutathione,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13051,10319,10067,10148,11820,12389,11497,10964,10463,10738,12168,9892,11349,9360,9409,11283,11209,10099,10478,9352
DUMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-Acetylneuraminate,424661,394167,381530,343230,327713,355687,367374,361197,350451,318067,325963,317590,318838,299706,247113,304450,291983,290335,241169,265326,381345,351624,341434,315191,310415,302840,280192,310513,274877,330359,315111,304485,287358,314135,272399,260452,288854,293832,242786,280255
Geranyl Pyrophosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DTMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMP,69782,68124,57873,59267,56360,55688,53905,49607,49755,46957,48806,47325,46475,49672,42475,44717,42236,48441,44189,41066,70752,66789,61229,60935,56230,54704,57224,51376,48810,47375,48900,44088,49257,47105,40096,46998,45782,44721,44610,42076
F16BP/F26BP/G16BP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lactose/Trehalose,48068,46597,42058,49245,51187,42386,48994,48127,47322,48096,38599,44452,48283,42347,40139,41336,41677,40501,40140,43386,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sucrose,159376,149084,151465,159850,143810,153392,157764,155942,148999,152662,140401,136293,141822,149081,147753,124349,125767,144318,130060,133871,200573,209409,224283,213848,217843,213246,211792,211876,213588,200058,214482,223120,215759,198702,180404,183435,175538,186084,174390,197220
cGMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gibberellin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PGE,35203,37183,36663,36234,34192,35441,35214,35779,36450,33669,30755,26972,32836,34156,30712,35186,29587,30112,31521,28758,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cortisol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
