"dog_id","Sample_Year","DAP_Sample_ID","krt_urine_col_meth","krt_urine_volume","krt_urine_transparency","krt_urine_sg","krt_urine_glucose","krt_urine_bilirubin","krt_urine_ketones","krt_urine_blood_hbg","krt_urine_ph","krt_urine_protien","krt_urine_wbc_hpf","krt_urine_rbc_hpf","krt_urine_squamous_hpf","krt_urine_urothelial_hpf","krt_urine_casts","krt_urine_casts_2","krt_urine_casts_3","krt_urine_casts_lpf","krt_urine_casts_lpf_2","krt_urine_casts_lpf_3","krt_urine_crystals","krt_urine_crystals_2","krt_urine_crystals_3","krt_urine_crystals_hpf","krt_urine_crystals_hpf_2","krt_urine_crystals_hpf_3","krt_urine_amorph_debris_hpf","krt_urine_bacteria","krt_urine_fat_hpf","krt_urine_color","krt_urine_test_comments"
22981,"precision_2","22981-precision_2-Urine","Unknown",">3 mL","Flocculent","1.051","Negative","1+","Negative","Negative",8,"3+","0-3","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"Struvite","Calcium Oxalate Dihydrate",NA,"Many","Many",NA,NA,NA,"Many","Dark Straw","In general, struvite crystalluria is most commonly seen with urinary tract infections and less commonly with other urinary changes and in clinically healthy animals. The presence of struvite crystals does not confirm the presence of struvite uroliths. Crystals can be present without uroliths, and vice versa. If clinically indicated, abdominal imaging may be warranted to rule out uroliths. The significance of the struvite crystals should be interpreted in conjunction with the full clinical history, urinalysis, and urine culture. Calcium oxalate dihydrate crystals can be clinically insignificant or an indication of calcium oxalate uroliths in cats and dogs. Formation of calcium oxalate uroliths is often considered idiopathic; however, hypercalcemia, increased dietary oxalates (spinach, nuts, etc.), acidic urine, and highly concentrated urine have been associated with crystal development. The presence of calcium oxalate crystals does not confirm the presence of uroliths; however, abdominal imaging may be warranted. The significance of the calcium oxalate crystals in this case should be determined with consideration of the full clinical history, presentation, and laboratory findings."
23140,"precision_1","23140-precision_1-Urine","Cystocentesis","1-3 mL","Slightly Hazy","1.031","Negative","Negative","Negative","Negative",7.5,"1+","orig Few harm 0-3","Rare","Rare","Rare","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Rare",NA,NA,NA,"None Observed","Many","Yellow","Checked by MB "
23301,"precision_1","23301-precision_1-Urine","Catheter","1-3 mL","Flocculent","1.054","Negative","1+","Negative","Negative",7.5,"Trace","0-3","0-3","0-3","0-3","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Many",NA,NA,NA,"None Observed","Many","Yellow","In general, struvite crystalluria is most commonly seen with urinary tract infections and less commonly with other urinary changes and in clinically healthy animals. The presence of struvite crystals does not confirm the presence of struvite uroliths. Crystals can be present without uroliths, and vice versa. If clinically indicated, abdominal imaging may be warranted to rule out uroliths. The significance of the struvite crystals should be interpreted in conjunction with the full clinical history, urinalysis, and urine culture. "
23301,"precision_2","23301-precision_2-Urine","Free Catch",">3 mL","Slightly Hazy","1.047","Negative","Negative","Negative","Negative",6.5,"Negative","0-3","0-3","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Moderate","Yellow",NA
23301,"precision_3","23301-precision_3-Urine","Free Catch",">3 mL","Slightly Hazy","1.030","Negative","Negative","Negative","Negative",6,"Trace","0-3","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Moderate","Straw",NA
23311,"precision_1","23311-precision_1-Urine","Free Catch",">3 mL","Hazy","1.048","Negative","1+","Negative","Negative",6.5,"1+","0-3","0-3","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Moderate","Dark Yellow",NA
23481,"precision_1","23481-precision_1-Urine","Cystocentesis",">3 mL","Clear","1.037","Negative","1+","Negative","Negative",6.5,"Trace","None Observed","0-3","None Observed","0-3","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Few","Straw",NA
23969,"precision_1","23969-precision_1-Urine","Free Catch",">3 mL","Clear","1.015","Negative","Negative","Negative","Negative",6,"Negative","None Observed","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Many","Yellow",NA
23969,"precision_2","23969-precision_2-Urine","Free Catch",">3 mL","Clear","1.021","Negative","Negative","Negative","Negative",6,"Negative","None Observed","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Moderate","Yellow",NA
24271,"precision_1","24271-precision_1-Urine","Free Catch",">3 mL","Clear","1.008","Negative","Negative","Negative","Negative",7,"Negative","None Observed","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Moderate","Pale Straw",NA
24271,"precision_2","24271-precision_2-Urine","Unknown",">3 mL","Clear","1.009","Negative","Negative","Negative","Negative",8,"Negative","None Observed","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"None Observed","Pale Straw",NA
24407,"precision_1","24407-precision_1-Urine","Free Catch","1-3 mL","Slightly Hazy","1.036","Negative","1+","Negative","Negative",7,"Trace","0-3","0-3","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Few","Yellow",NA
24407,"precision_2","24407-precision_2-Urine","Free Catch",">3 mL","Clear","1.020","Negative","Negative","Negative","Negative",7.5,"Negative","0-3","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Few","Straw",NA
24549,"precision_1","24549-precision_1-Urine","Free Catch","1-3 mL","Flocculent","1.035","Negative","1+","Negative","Negative",7,"Trace","0-3","None Observed","0-3","0-3","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Many",NA,NA,NA,"None Observed","Many","Yellow","In general, struvite crystalluria is most commonly seen with urinary tract infections and less commonly with other urinary changes and in clinically healthy animals. The presence of struvite crystals does not confirm the presence of struvite uroliths. Crystals can be present without uroliths, and vice versa. If clinically indicated, abdominal imaging may be warranted to rule out uroliths. The significance of the struvite crystals should be interpreted in conjunction with the full clinical history, urinalysis, and urine culture."
24549,"precision_2","24549-precision_2-Urine","Free Catch",">3 mL","Slightly Hazy","1.035","Negative","Negative","Negative","Negative",6.5,"Negative","None Observed","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"Calcium Oxalate Dihydrate",NA,NA,"Moderate",NA,NA,NA,NA,"Many","Straw","Calcium oxalate dihydrate crystals can be clinically insignificant or an indication of calcium oxalate uroliths in cats and dogs. Formation of calcium oxalate uroliths is often considered idiopathic; however, hypercalcemia, increased dietary oxalates (spinach, nuts, etc.), acidic urine, and highly concentrated urine have been associated with crystal development. The presence of calcium oxalate crystals does not confirm the presence of uroliths; however, abdominal imaging may be warranted. The significance of the calcium oxalate crystals in this case should be determined with consideration of the full clinical history, presentation, and laboratory findings."
24899,"precision_1","24899-precision_1-Urine","Free Catch","1-3 mL","Slightly Hazy","1.041","Negative","Negative","Negative","Negative",6,"Negative","None Observed","0-3","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Moderate","Yellow",NA
24899,"precision_2","24899-precision_2-Urine","Free Catch",">3 mL","Slightly Hazy","1.035","Negative","Negative","Negative","Negative",6,"Negative","0-3","3-6","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Many","Yellow","3-6 ghosty reds seen/ field. Dipstick blood verified by repeat "
25188,"precision_2","25188-precision_2-Urine","Free Catch","<1 mL","Slightly Cloudy","1.051","Trace","3+","Negative","Negative",7,"1+","6-10","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Many","Yellow","Bilirubin confirmed by Ictotest. "
25188,"precision_3","25188-precision_3-Urine","Free Catch","1-3 mL","Cloudy","1.048","Negative","Negative","Negative","Negative",6,"Trace","None Observed","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Moderate","Dark Straw","looks like there's dirt in it"
25255,"precision_1","25255-precision_1-Urine","Free Catch","1-3 mL","Flocculent","1.021","Negative","Negative","Negative","Negative",8,"Negative","None Observed","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Moderate",NA,NA,NA,"None Observed","Many","Dark Straw","In general, struvite crystalluria is seen with urinary tract infections and less commonly with other urinary changes and in clinically healthy animals (or with storage). The presence of struvite crystals does not confirm the presence of struvite uroliths. Crystals can be present without uroliths, and vice versa. If clinically indicated, abdominal imaging may be warranted to rule out uroliths. The significance of the struvite crystals should be interpreted in conjunction with the full clinical history, urinalysis, and urine culture. "
25255,"precision_2","25255-precision_2-Urine","Free Catch",">3 mL","Cloudy","1.020","Negative","1+","Negative","Negative",7,"Negative","0-3","None Observed","3-6","0-3","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Many","Yellow","ictotest positive"
25283,"precision_1","25283-precision_1-Urine","Cystocentesis","1-3 mL","Clear","1.028","Negative","1+","Negative","Negative",6.5,"Negative","0-3","0-3","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Many","Yellow","Ictotest positive"
25284,"precision_1","25284-precision_1-Urine","Unknown",">3 mL","Clear","1.016","Negative","Negative","Negative","Negative",7,"Negative","Rare","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,"None Observed","None Observed","Moderate","Straw",NA
25284,"precision_2","25284-precision_2-Urine","Cystocentesis",">3 mL","Slightly Cloudy","1.039","Negative","1+","Negative","Negative",7.5,"Trace","None Observed","0-3","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Many","Yellow",NA
25284,"precision_3","25284-precision_3-Urine","Unknown",">3 mL","Slightly Hazy","1.041","Negative","Negative","Negative","Negative",6,"Negative","0-3","0-3","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"None Observed","Dark Straw",NA
25292,"precision_1","25292-precision_1-Urine","Free Catch","1-3 mL","Flocculent","1.020","Negative","Negative","Negative","Negative",8,"Negative","Rare","Rare","None Observed","Rare","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Moderate",NA,NA,NA,"None Observed","Few","Pale Straw","Checked by MB "
25465,"precision_1","25465-precision_1-Urine","Free Catch","1-3 mL","Flocculent","1.043","Negative","Negative","Negative","Negative",6.5,"Negative","0-3","0-3","0-3","0-3","None Observed",NA,NA,NA,NA,NA,"Calcium Oxalate Dihydrate",NA,NA,"Many",NA,NA,NA,"None Observed","Rare","Yellow","Calcium oxalate dihydrate crystals can be clinically insignificant or an indication of calcium oxalate uroliths in cats and dogs. Formation of calcium oxalate uroliths is often considered idiopathic; however, hypercalcemia, increased dietary oxalates (spinach, nuts, etc.), acidic urine, and highly concentrated urine have been associated with crystal development. The presence of calcium oxalate crystals does not confirm the presence of uroliths; however, abdominal imaging may be warranted. The significance of the calcium oxalate crystals in this case should be determined with consideration of the full clinical history, presentation, and laboratory findings. "
25465,"precision_2","25465-precision_2-Urine","Free Catch","1-3 mL","Slightly Hazy","1.029","Negative","Negative","Negative","Negative",6.5,"Trace","0-3","0-3","0-3","0-3","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Moderate","Yellow",NA
25538,"precision_1","25538-precision_1-Urine","Free Catch",">3 mL","Slightly Hazy","1.035","Negative","Negative","Negative","Negative",6,"Negative","orig 5-10 harm 6-10","orig 5-10 harm 6-10","orig 0-5 harm 0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Many","Yellow","Checked by EJ"
25538,"precision_2","25538-precision_2-Urine","Free Catch",">3 mL","Flocculent","1.037","Negative","1+","Negative","Negative",7.5,"Trace","0-3","0-3","6-10","10-20","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Rare",NA,NA,NA,NA,"Moderate","Yellow","In general, struvite crystalluria is most commonly seen with urinary tract infections and less commonly with other urinary changes and in clinically healthy animals. The presence of struvite crystals does not confirm the presence of struvite uroliths. Crystals can be present without uroliths, and vice versa. If clinically indicated, abdominal imaging may be warranted to rule out uroliths. The significance of the struvite crystals should be interpreted in conjunction with the full clinical history, urinalysis, and urine culture."
25538,"precision_3","25538-precision_3-Urine","Free Catch",">3 mL","Flocculent","1.035","Negative","Negative","Negative","Negative",8,"1+","3-6","0-3","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Few",NA,NA,NA,"Mixed Population","Few","Yellow",NA
26238,"precision_1","26238-precision_1-Urine","Free Catch",">3 mL","Flocculent","1.030","Negative","Negative","Negative","Negative",8,"Trace","orig Few harm 0-3","Rare","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Few",NA,NA,"Rare","Rod Shaped Bacteria","Few","Yellow"," In general, struvite crystalluria is most commonly seen with urinary tract infections and less commonly with other urinary changes and in clinically healthy animals. The presence of struvite crystals does not confirm the presence of struvite uroliths. Crystals can be present without uroliths, and vice versa. If clinically indicated, abdominal imaging may be warranted to rule out uroliths. The significance of the struvite crystals should be interpreted in conjunction with the full clinical history, urinalysis, and urine culture. "
26238,"precision_2","26238-precision_2-Urine","Free Catch",">3 mL","Clear","1.005","Negative","Negative","Negative","Negative",7,"Negative","None Observed","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Few","Pale Straw",NA
26279,"precision_1","26279-precision_1-Urine","Cystocentesis","1-3 mL","Clear","1.013","Negative","Negative","Negative","1+",8.5,"Negative","None Observed","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Moderate","Pale Straw",NA
26387,"precision_1","26387-precision_1-Urine","Free Catch",">3 mL","Clear","1.029","Negative","Negative","Negative","Negative",7,"2+","0-3","None Observed","0-3","0-3","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Rare","Yellow",NA
26390,"precision_1","26390-precision_1-Urine","Free Catch","1-3 mL","Clear","1.021","Negative","Negative","Negative","Negative",6,"Negative","orig 0-5 harm 0-3","Rare","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,"None Observed","None Observed","Few","Pale Straw","Checked by EJ"
26390,"precision_2","26390-precision_2-Urine","Free Catch",">3 mL","Slightly Hazy","1.018","Negative","Negative","Negative","Negative",6,"Negative","None Observed","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"Calcium Oxalate Dihydrate",NA,NA,"Rare",NA,NA,NA,NA,"Few","Straw",NA
26492,"precision_1","26492-precision_1-Urine","Unknown",">3 mL","Cloudy","1.057","Negative","Negative","Negative","Negative",6.5,"1+","0-3","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Many","Dark Yellow",NA
26492,"precision_2","26492-precision_2-Urine","Free Catch","1-3 mL","Slightly Hazy","1.040","Negative","1+","Negative","Negative",6,"Trace","3-6","0-3","0-3","0-3","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Moderate","Gold",NA
26529,"precision_1","26529-precision_1-Urine","Cystocentesis","1-3 mL","Flocculent","1.041","Negative","2+","Negative","Negative",8,"1+","None Observed","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Moderate",NA,NA,NA,NA,"Moderate","Yellow","Ictotest positive."
26696,"precision_1","26696-precision_1-Urine","Free Catch",">3 mL","Hazy","1.056","Negative","1+","Negative","Negative",6.5,"1+","Rare","orig 0-5 harm 0-3","orig 0-5 harm 0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Many","Yellow",NA
27459,"precision_1","27459-precision_1-Urine","Free Catch",">3 mL","Clear","1.042","Negative","1+","Negative","Negative",6,"Negative","orig Few harm 0-3","None Observed","orig 0-5 harm 0-3","Rare","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,"Few","None Observed","Many","Straw",NA
27459,"precision_2","27459-precision_2-Urine","Cystocentesis","1-3 mL","Slightly Hazy","1.042","Negative","1+","Negative","Negative",6,"Negative","None Observed","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Moderate","Dark Straw",NA
27459,"precision_3","27459-precision_3-Urine","Cystocentesis",">3 mL","Cloudy","1.040","Negative","1+","Negative","2+",6,"Trace","0-3","Too Numerous to Count","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Moderate","Yellow",NA
27486,"precision_1","27486-precision_1-Urine","Free Catch",">3 mL","Slightly Cloudy","1.036","Negative","Negative","Negative","Negative",7,"Negative","orig Few harm 0-3","Rare","orig 0-5 harm 0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Many","Dark Straw",NA
27486,"precision_2","27486-precision_2-Urine","Free Catch",">3 mL","Hazy","1.035","Negative","1+","Negative","Negative",7,"Negative","None Observed","0-3","3-6","0-3","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Many","Yellow",NA
27486,"precision_3","27486-precision_3-Urine","Free Catch",">3 mL","Hazy","1.037","Negative","Negative","Negative","Negative",6,"Trace","0-3","None Observed","3-6","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Many","Straw",NA
27658,"precision_1","27658-precision_1-Urine","Free Catch",">3 mL","Clear","1.014","Negative","Negative","Negative","Trace",6,"Trace","0-3","6-10","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Few","Pale Straw",NA
27658,"precision_3","27658-precision_3-Urine","Cystocentesis",">3 mL","Hazy","1.011","Negative","Negative","Negative","Negative",6,"Negative","None Observed","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Rare","Pale Straw",NA
28063,"precision_1","28063-precision_1-Urine","Free Catch","1-3 mL","Clear","1.025","Negative","Negative","Negative","Negative",6,"Negative","0-3","3-6","0-3","None Observed","Hyaline",NA,NA,"Rare",NA,NA,"Calcium Oxalate Dihydrate",NA,NA,"Few",NA,NA,NA,NA,"Many","Straw",NA
28082,"precision_1","28082-precision_1-Urine","Free Catch",">3 mL","Slightly Hazy","1.038","Negative","Negative","Negative","Negative",8,"1+","None Observed","None Observed","orig Few harm 0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,"None Observed","None Observed","Many","Yellow",NA
28082,"precision_2","28082-precision_2-Urine","Free Catch",">3 mL","Slightly Hazy","1.038","Negative","Negative","Negative","Negative",6,"Trace","None Observed","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Moderate","Straw",NA
28082,"precision_3","28082-precision_3-Urine","Cystocentesis","1-3 mL","Clear","1.047","Negative","Negative","Negative","Negative",6,"Trace","None Observed","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Moderate","Straw",NA
28140,"precision_1","28140-precision_1-Urine","Free Catch",">3 mL","Slightly Hazy","1.048","Negative","1+","Negative","Negative",6,"Negative","0-3","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Moderate","Straw",NA
28140,"precision_2","28140-precision_2-Urine","Free Catch",">3 mL","Slightly Hazy","1.019","Negative","Negative","Negative","Negative",6,"Negative","0-3","0-3","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Rare","Yellow",NA
28549,"precision_1","28549-precision_1-Urine","Free Catch","1-3 mL","Slightly Hazy","1.043","Negative","1+","Negative","Negative",6,"Negative","0-3","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Many","Straw","Checked by CW"
28549,"precision_2","28549-precision_2-Urine","Free Catch",">3 mL","Cloudy","1.040","Negative","Negative","Negative","Negative",6,"Trace","0-3","None Observed","3-6","0-3","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Many","Straw",NA
28584,"precision_1","28584-precision_1-Urine","Free Catch","1-3 mL","Flocculent","1.052","Negative","1+","Negative","Negative",7,"Trace","None Observed","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Moderate",NA,NA,NA,"None Observed","Few","Yellow",NA
28584,"precision_2","28584-precision_2-Urine","Cystocentesis","1-3 mL","Flocculent","1.046","Negative","1+","Negative","Negative",7.5,"Trace","0-3","0-3","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Many",NA,NA,NA,NA,"Many","Yellow",NA
28716,"precision_1","28716-precision_1-Urine","Free Catch",">3 mL","Hazy","1.040","Negative","1+","Negative","Negative",7.5,"Trace","0-3","0-3","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"Degenerating",NA,NA,"Many",NA,NA,NA,"None Observed","Moderate","Dark Straw",NA
28716,"precision_2","28716-precision_2-Urine","Free Catch",">3 mL","Clear","1.042","Negative","Negative","Negative","Negative",6.5,"Negative","None Observed","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Rare",NA,NA,NA,NA,"None Observed","Straw","Copious amounts of plant material observed. "
28905,"precision_1","28905-precision_1-Urine","Cystocentesis","1-3 mL","Slightly Hazy","1.025","Negative","1+","Negative","Negative",6.5,"Negative","orig Few harm 0-3","orig 0-5 harm 0-3","orig Few harm 0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,"None Observed","None Observed","Few","Straw",NA
29045,"precision_1","29045-precision_1-Urine","Free Catch","1-3 mL","Hazy","1.050","Negative","Negative","Negative","Negative",6,"Trace","0-3","0-3","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Moderate","Yellow",NA
29045,"precision_2","29045-precision_2-Urine","Cystocentesis",">3 mL","Flocculent","1.026","Negative","Negative","Negative","Trace",7,"Negative","0-3","10-20","0-3","0-3","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Rare",NA,NA,NA,NA,"Many","Straw",NA
29058,"precision_1","29058-precision_1-Urine","Catheter","1-3 mL","Hazy","1.051","Negative","1+","Negative","1+",6.5,"1+","3-6","3-6","3-6","3-6","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Many","Dark Straw",NA
29084,"precision_1","29084-precision_1-Urine","Free Catch","1-3 mL","Clear","1.010","Negative","Negative","Negative","Negative",6,"Negative","0-3","None Observed","0-3","0-3","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Many","Straw",NA
29084,"precision_2","29084-precision_2-Urine","Free Catch",">3 mL","Clear","1.010","Negative","Negative","Negative","Negative",6.5,"Negative","0-3","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"Mixed Population","Few","Pale Yellow",NA
29467,"precision_1","29467-precision_1-Urine","Free Catch",">3 mL","Flocculent","1.050","Negative","Negative","Negative","Negative",7.5,"Trace","orig 0-5 harm 0-3","None Observed","orig 0-5 harm 0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Rare",NA,NA,NA,"None Observed","Few","Straw",NA
29467,"precision_2","29467-precision_2-Urine","Free Catch",">3 mL","Slightly Hazy","1.041","Negative","Negative","Negative","Negative",6,"Negative","3-6","None Observed","6-10","3-6","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"None Observed","Straw",NA
29467,"precision_3","29467-precision_3-Urine","Free Catch",">3 mL","Clear","1.047","Negative","Negative","Negative","Negative",6,"Trace","10-20","None Observed","10-20","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Moderate","Dark Yellow","Dr. Tang looked at squams on sed slide, confirmed they are not abnormal. "
29556,"precision_1","29556-precision_1-Urine","Cystocentesis",">3 mL","Clear","1.037","Negative","1+","Negative","Negative",7,"Trace","0-3","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Many","Yellow",NA
29556,"precision_2","29556-precision_2-Urine","Cystocentesis",">3 mL","Slightly Hazy","1.024","Negative","Negative","Negative","Trace",7,"Trace","None Observed","3-6","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Many","Pale Yellow",NA
29556,"precision_3","29556-precision_3-Urine","Free Catch",">3 mL","Clear","1.048","Negative","Negative","Negative","Negative",6.5,"Trace","None Observed","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Few","Yellow",NA
29762,"precision_1","29762-precision_1-Urine","Free Catch",">3 mL","Clear","1.051","Negative","1+","Negative","Negative",6,"Trace","0-3","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Rare","Yellow",NA
29878,"precision_1","29878-precision_1-Urine","Free Catch",">3 mL","Slightly Hazy","1.053","Negative","1+","Negative","Negative",6.5,"Trace","0-3","0-3","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","None Observed","Yellow",NA
29878,"precision_2","29878-precision_2-Urine","Free Catch","1-3 mL","Slightly Hazy","1.043","Negative","2+","Negative","Trace",6.5,"2+","6-10","3-6","6-10","0-3","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"Cocci","Moderate","Dark Yellow","Very positive icto "
29891,"precision_1","29891-precision_1-Urine","Cystocentesis",">3 mL","Slightly Hazy","1.048","Negative","Negative","Negative","Negative",6,"Trace","orig Few harm 0-3","Rare","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,"None Observed","None Observed","Moderate","Dark Straw",NA
29891,"precision_2","29891-precision_2-Urine","Free Catch","1-3 mL","Slightly Hazy","1.033","Negative","1+","Negative","Negative",7.5,"Trace","None Observed","0-3","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Many","Yellow","icto positive"
